연도,학교,기숙사 수용률,2023기준 존재여부
2021,중원대학교 ,77.8,False
2021,진주교육대학교 ,9.8,False
2021,차의과학대학교 ,24.4,False
2021,창신대학교 ,48.9,False
2021,청운대학교 ,19.0,False
2021,청주교육대학교 ,38.2,False
2021,청주대학교 ,21.0,False
2021,초당대학교 ,33.2,False
2021,총신대학교 ,52.1,False
2021,추계예술대학교 ,14.4,False
2021,춘천교육대학교 ,58.2,False
2021,충남대학교 ,23.5,False
2021,충북대학교 ,26.8,False
2021,칼빈대학교 ,38.4,False
2021,평택대학교 ,29.2,False
2021,포항공과대학교 ,100.1,False
2021,한경국립대학교 ,24.6,False
2021,한국공학대학교 ,37.0,False
2021,한국과학기술원 ,58.7,False
2021,한국교원대학교 ,58.4,False
2021,한국기술교육대학교 ,80.7,False
2021,한국성서대학교 ,15.2,False
2021,한국예술종합학교 ,7.8,False
2021,한국외국어대학교 ,18.1,False
2021,한국전통문화대학교 ,90.2,False
2021,한국체육대학교 ,35.7,False
2021,한국침례신학대학교 ,25.6,False
2021,한국항공대학교 ,18.1,False
2021,한남대학교 ,13.3,False
2021,한동대학교 ,66.8,False
2021,한라대학교 ,18.6,False
2021,한려대학교 ,73.0,False
2021,한림대학교 ,33.2,False
2021,한서대학교 ,28.4,False
2021,한성대학교 ,12.6,False
2021,한세대학교 ,14.1,False
2021,한신대학교 ,16.8,False
2021,한양대학교 ,11.1,False
2021,한양대학교(ERICA) _분교,27.1,False
2021,한일장신대학교 ,22.0,False
2021,협성대학교 ,11.2,False
2021,호남대학교 ,19.5,False
2021,호남신학대학교 ,36.1,False
2021,호서대학교 ,25.4,False
2021,호원대학교 ,38.8,False
2021,홍익대학교 ,13.8,False
2021,홍익대학교 _제2캠퍼스,23.7,False
2021,화성의과학대학교 ,22.3,False
2020,가야대학교(김해) ,30.4,False
2020,가천대학교 ,12.1,False
2020,가톨릭관동대학교 ,36.4,False
2020,가톨릭꽃동네대학교 ,43.1,False
2020,가톨릭대학교 ,16.3,False
2020,가톨릭대학교 _제2캠퍼스,7.8,False
2020,가톨릭대학교 _제3캠퍼스,107.4,False
2020,감리교신학대학교 ,21.4,False
2020,강남대학교 ,13.7,False
2020,강서대학교 ,7.2,False
2020,강원대학교 ,28.4,False
2020,강원대학교 _제2캠퍼스,48.4,False
2020,건국대학교 ,18.9,False
2020,건국대학교(글로컬) _분교,31.9,False
2020,건양대학교 ,42.4,False
2020,건양대학교 _제2캠퍼스,34.6,False
2020,경기대학교 ,18.1,False
2020,경기대학교 _제2캠퍼스,0.0,False
2020,경남과학기술대학교 ,18.0,False
2020,경남대학교 ,14.2,False
2020,경동대학교 ,63.3,False
2020,경동대학교 _제3캠퍼스,25.3,False
2020,경동대학교 _제4캠퍼스,21.9,False
2020,경북대학교 ,26.8,False
2020,경상국립대학교 ,24.4,False
2020,경성대학교 ,11.0,False
2020,경운대학교 ,34.4,False
