연도,학교,총 강좌 수,소규모 강좌 비율,대형 강좌 비율,평균 강좌 규모 점수
2010.0,한국교통대학교(산업대) ,1307,0.3190512624330528,0.0007651109410864,26.3
2010.0,한국국제대학교 ,837,0.4038231780167264,0.003584229390681,25.5
2010.0,한국기술교육대학교 ,879,0.3333333333333333,0.0034129692832764,32.2
2010.0,한국방송통신대학교 ,324,0.0,0.9722222222222222,246.8
2010.0,한국산업기술대학교(산업대) ,1121,0.2123104371097234,0.0071364852809991,37.6
2010.0,한국성서대학교 ,290,0.4448275862068965,0.0,26.6
2010.0,한국예술종합학교 ,1217,0.8225143796220213,0.000821692686935,15.5
2010.0,한국외국어대학교 ,2359,0.4234845273420941,0.0,28.4
2010.0,한국외국어대학교(용인) _분교,2367,0.5133079847908745,0.0,25.9
2010.0,한국전통문화대학교(각종) ,199,0.7236180904522613,0.0,17.4
2010.0,한국체육대학교 ,541,0.099815157116451,0.0,36.6
2010.0,한국침례신학대학교 ,434,0.4861751152073733,0.0,32.7
2010.0,한국항공대학교 ,677,0.2053175775480059,0.001477104874446,44.6
2010.0,한남대학교 ,2454,0.2135289323553382,0.0048899755501222,36.8
2010.0,한동대학교 ,612,0.25,0.0032679738562091,35.9
2010.0,한라대학교 ,731,0.2790697674418604,0.0,29.9
2010.0,한려대학교(산업대) ,393,0.6819338422391857,0.0,22.7
2010.0,한림대학교 ,1516,0.2011873350923483,0.0,37.2
2010.0,한민학교 ,194,0.6958762886597938,0.0,18.6
2010.0,한밭대학교(산업대) ,2021,0.2483918852053439,0.0009896091044037,26.9
2010.0,한북대학교 ,210,0.2857142857142857,0.0047619047619047,26.6
2010.0,한서대학교 ,1524,0.2585301837270341,0.0072178477690288,34.7
2010.0,한성대학교 ,1391,0.1833213515456506,0.0057512580877066,36.8
2010.0,한세대학교 ,807,0.4485749690210657,0.0049566294919454,30.2
2010.0,한신대학교 ,1030,0.274757281553398,0.0058252427184466,40.9
2010.0,한양대학교 ,3239,0.36091386230318,0.0021611608521148,37.2
2010.0,한양대학교(ERICA) _분교,1684,0.2179334916864608,0.005938242280285,39.4
2010.0,한양사이버대학교 ,495,0.0545454545454545,0.0484848484848484,124.7
2010.0,한일장신대학교 ,341,0.5425219941348973,0.0117302052785923,25.4
2010.0,한중대학교 ,617,0.5283630470016207,0.0016207455429497,24.5
2010.0,협성대학교 ,1130,0.447787610619469,0.0061946902654867,30.0
2010.0,호남대학교 ,1299,0.2925327174749808,0.0023094688221709,34.5
2010.0,호남신학대학교 ,186,0.5591397849462365,0.0,24.1
2010.0,호서대학교 ,3244,0.2922318125770654,0.0033908754623921,33.9
2010.0,호원대학교 ,1944,0.5699588477366255,0.0,20.8
2010.0,홍익대학교 ,2412,0.3805970149253731,0.0082918739635157,35.3
2010.0,홍익대학교(세종) _분교,1396,0.326647564469914,0.0,29.8
2010.0,화성의과학대학교 ,119,0.453781512605042,0.0,28.5
2010.0,화신사이버대학교 ,63,0.5079365079365079,0.0476190476190476,44.1
2011.0,가야대학교 ,10,0.0,0.0,30.0
2011.0,가야대학교 _제2캠퍼스,1075,0.14946424363399452,0.0,31.45
2011.0,가천대학교 ,6555,0.25812224202585027,0.0033909311975735606,34.75
2011.0,가천의과학대학교 ,1375,0.15409064553945903,0.0029096464832425524,36.9
2011.0,가톨릭관동대학교 ,4511,0.38343003797329556,0.00916991951308046,35.8
2011.0,가톨릭꽃동네대학교 ,294,0.3612040133779264,0.0,27.95
2011.0,가톨릭대학교 ,2582,0.2901794153353693,0.003852115723101352,36.650000000000006
2011.0,가톨릭대학교 _제2캠퍼스,242,0.2272727272727273,0.0,78.15
2011.0,가톨릭대학교 _제3캠퍼스,99,0.39338235294117646,0.0,38.5
2011.0,감리교신학대학교 ,246,0.20292637711864409,0.00814353813559322,46.45
2011.0,강남대학교 ,4434,0.4915483242840706,0.0036050553790466077,28.9
2011.0,강서대학교 ,826,0.44437570701357465,0.0,25.45
2011.0,강원대학교 ,6626,0.38114387707801856,0.0016717130580676098,30.2
2011.0,강원대학교 _제2캠퍼스,2748,0.17931751031566792,0.0011398176291793312,30.4
2011.0,건국대학교 ,5359,0.3091280614824045,0.005772897876650968,37.2
2011.0,건국대학교(글로컬) _분교,2918,0.29262254447031516,0.0020680370564422337,38.7
2011.0,건동대학교 ,553,0.7251295879365411,0.0,17.85
2011.0,건양대학교 ,2662,0.25492451940586736,0.0,33.7
2011.0,건양대학교 _제2캠퍼스,776,0.20702467188794738,0.0,38.95
2011.0,경기대학교 ,3874,0.20261806884371736,0.0031051985288022494,39.650000000000006
2011.0,경기대학교 _제2캠퍼스,917,0.26091683319059855,0.001075268817204301,34.4
2011.0,경남과학기술대학교 ,2695,0.3424013928151123,0.0,25.75
2011.0,경남대학교 ,4373,0.17964628399049654,0.0034718688580064267,42.4
2011.0,경동대학교 ,1131,0.1735169743336315,0.0017687462075954435,36.349999999999994
2011.0,경북대학교 ,6789,0.3180552321143987,0.0025020018619791055,38.05
2011.0,경북대학교 _제2캠퍼스,1180,0.2969241825368307,0.0,31.4
2011.0,경북외국어대학교 ,328,0.7998511904761905,0.0,15.799999999999999
2011.0,경상국립대학교 ,4952,0.26269157838651036,0.015577660419147914,40.8
2011.0,경성대학교 ,5462,0.26045951698268865,0.0034716089772757293,37.5
2011.0,경운대학교(산업대) ,2377,0.25788194532938014,0.0,29.55
2011.0,경인교육대학교 ,1227,0.1810767718104754,0.0,26.4
2011.0,경인교육대학교 _제2캠퍼스,776,0.19277374460539962,0.0,26.15
2011.0,경일대학교 ,2338,0.30991006489822365,0.00041911148365465214,31.15
2011.0,경희대학교 ,4017,0.17900472013039387,0.0022360600898987423,45.75
2011.0,경희대학교 _분교,4311,0.21643243830176678,0.0013931546372562705,35.25
2011.0,경희사이버대학교 ,796,0.00125,0.11055555555555555,128.95
