통합_대학별_취업현황,,,,,,,,,,,,,,,,,,,,,,
기준년도,학교명,졸업자,취업률(%),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2010,가야대학교,43,64.1,,,,,,,,,,,,,,,,,,,
,서울과학기술대학교(산업대),"3,162",73.5,,,,,,,,,,,,,,,,,,,
,서울교육대학교,551,45.2,,,,,,,,,,,,,,,,,,,
,서울기독대학교,145,50.9,,,,,,,,,,,,,,,,,,,
,서울대학교,"3,745",59.8,,,,,,,,,,,,,,,,,,,
,서울시립대학교,"1,622",62.9,,,,,,,,,,,,,,,,,,,
,서울신학대학교,523,50.9,,,,,,,,,,,,,,,,,,,
,서울여자대학교,"1,738",49.4,,,,,,,,,,,,,,,,,,,
,서울장신대학교,103,31.8,,,,,,,,,,,,,,,,,,,
,서울한영대학교,173,48.3,,,,,,,,,,,,,,,,,,,
,서원대학교,"1,367",48.1,,,,,,,,,,,,,,,,,,,
,선교청대학교,27,31.8,,,,,,,,,,,,,,,,,,,
,선문대학교,"1,605",50.1,,,,,,,,,,,,,,,,,,,
,성결대학교,"1,106",47.2,,,,,,,,,,,,,,,,,,,
,성공회대학교,492,42.6,,,,,,,,,,,,,,,,,,,
,성균관대학교,"4,261",68.7,,,,,,,,,,,,,,,,,,,
,성신여자대학교,"2,238",44.9,,,,,,,,,,,,,,,,,,,
,세명대학교,"1,640",54.6,,,,,,,,,,,,,,,,,,,
,세종대학교,"2,431",48.9,,,,,,,,,,,,,,,,,,,
,세한대학교,956,52.5,,,,,,,,,,,,,,,,,,,
,수도침례신학교,1,0,,,,,,,,,,,,,,,,,,,
,수원가톨릭대학교,41,0,,,,,,,,,,,,,,,,,,,
,수원대학교,"2,591",44.8,,,,,,,,,,,,,,,,,,,
,숙명여자대학교,"2,062",55.7,,,,,,,,,,,,,,,,,,,
,순천향대학교,"2,484",54.8,,,,,,,,,,,,,,,,,,,
,숭실대학교,"2,546",61.1,,,,,,,,,,,,,,,,,,,
,신경주대학교,918,52.5,,,,,,,,,,,,,,,,,,,
