기준년도,학교명,졸업자,취업률
2012,국립공주대학교,3209,50.3
2012,국립군산대학교,1599,52.2
2012,국립금오공과대학교,1385,70.0
2012,국립목포대학교,1486,46.8
2012,국립목포해양대학교,467,81.8
2012,국립부경대학교,3674,53.3
2012,국립순천대학교,1490,46.6
2012,국립창원대학교,1770,56.8
2012,국립한국해양대학교,1479,69.8
2012,국민대학교,3161,49.3
2012,극동대학교,798,62.9
2012,금강대학교,67,54.9
2012,나사렛대학교,1165,55.7
2012,남부대학교,462,69.3
2012,남서울대학교(산업대),2382,54.2
2012,단국대학교,2375,50.4
2012,단국대학교(천안) _분교,2742,47.4
2012,대구가톨릭대학교,2709,56.7
2012,대구교육대학교,523,58.4
2012,대구대학교,4143,58.3
2012,대구예술대학교,205,36.0
2012,대구외국어대학교,80,64.1
2012,대구한의대학교,1455,59.1
2012,대신대학교,142,47.0
2012,대전가톨릭대학교,22,0.0
2012,대전대학교,1892,64.5
2012,대전신학교,83,0.0
2012,대진대학교,1749,50.6
2012,덕성여자대학교,1188,48.2
2012,동국대학교,2827,56.6
2012,동국대학교(WISE) _분교,1884,59.4
2012,동덕여자대학교,1597,55.9
2012,동명대학교,796,64.0
2012,동명정보대학교,421,57.5
2012,동서대학교,2288,59.2
2012,동신대학교,1330,65.4
2012,동아대학교,4487,46.7
2012,동양대학교,672,55.6
2012,동의대학교,3663,56.0
2012,루터대학교,97,61.5
2012,명지대학교,1646,54.1
2012,명지대학교 _제2캠퍼스,1518,45.5
2012,목원대학교,1852,54.7
2012,목포가톨릭대학교,149,73.4
2012,배재대학교,1992,43.1
2012,백석대학교,2681,51.5
2012,부산가톨릭대학교,1066,60.0
2012,부산대학교,4566,52.0
2012,부산외국어대학교,1851,58.9
2012,부산장신대학교,49,62.1
2012,삼육대학교,1109,60.6
2012,상명대학교,1478,62.4
2012,상명대학교(천안) _분교,1439,59.7
2012,상주대학교,13,53.8
2012,상지대학교,1667,58.2
2012,서강대학교,1793,68.7
2012,서경대학교,1374,54.7
2012,서남대학교,301,74.3
2012,서남대학교 _제2캠퍼스,75,62.2
2012,서울과학기술대학교(산업대),2977,72.1
2012,서울교육대학교,498,54.7
2012,서울기독대학교,120,50.6
2012,서울대학교,3466,61.0
2012,서울시립대학교,1846,63.8
2012,서울신학대학교,514,57.2
2012,서울여자대학교,1708,49.7
2012,서울장신대학교,131,34.3
2012,서울한영대학교,152,47.1
2012,서원대학교,1368,54.4
2012,선문대학교,1712,58.6
2012,성결대학교,1225,58.1
2012,성공회대학교,496,43.4
2012,성균관대학교,4283,68.9
2012,성신여자대학교,2250,47.7
2012,세명대학교,1693,55.6
2012,세종대학교,2572,47.1
2012,세한대학교,987,64.7
2012,수원가톨릭대학교,36,0.0
2012,수원대학교,2530,46.2
2012,숙명여자대학교,2230,55.4
2012,순천향대학교,2620,52.5
2012,숭실대학교,2551,59.3
2012,신경주대학교,781,54.8
2012,신라대학교,2085,61.2
2012,아신대학교,199,0.0
2012,아주대학교,2065,64.0
2012,안양대학교,1010,48.3
2012,안양대학교 _제2캠퍼스,118,60.0
2012,연세대학교,4245,65.2
2012,연세대학교(미래) _분교,1757,59.5
2012,영남대학교,5371,55.6
2012,영남신학대학교,139,50.0
2012,영산대학교,393,77.2
2012,영산대학교 _제2캠퍼스,385,69.5
2012,영산대학교(산업대),219,59.2
2012,영산대학교(산업대) _제2캠퍼스,191,71.8
2012,영산선학대학교,12,0.0
2012,예수대학교,124,67.8
2012,예원예술대학교,211,47.3
2012,용인대학교,1403,46.6
2012,우석대학교,1742,62.0
2012,우송대학교,32,82.8
2012,우송대학교(산업대),1656,69.2
2012,울산과학기술원,1,0.0
2012,울산대학교,2823,51.6
2012,원광대학교,3439,66.6
2012,위덕대학교,565,61.6
2012,유원대학교,514,80.8
2012,을지대학교,244,75.4
2012,을지대학교 _제2캠퍼스,1195,68.4
2012,이화여자대학교,3285,54.4
2012,인제대학교,1990,55.1
2012,인제대학교 _제2캠퍼스,264,83.9
2012,인천가톨릭대학교,21,0.0
2012,인천가톨릭대학교 _제2캠퍼스,66,52.7
2012,인천대학교,1475,54.2
2012,인하대학교,3981,65.4
2012,장로회신학대학교,176,0.0
2012,전남대학교,3889,47.3
2012,전남대학교 _제2캠퍼스,689,51.2
2012,전북대학교,3900,55.0
2012,전주교육대학교,392,74.3
2012,전주대학교,1777,54.8
2012,제주교육대학교,139,64.7
2012,제주대학교,2018,47.7
2012,조선대학교,4803,57.3
2012,중부대학교,1464,58.1
2012,중앙대학교,3011,62.9
2012,중앙대학교 _제2캠퍼스,2158,41.1
2012,중앙승가대학교,68,0.0
2012,진주교육대학교,470,59.0
2012,진주산업대학교(산업대),1338,67.6
2012,차의과학대학교,136,67.4
2012,청운대학교,1319,61.6
2012,청주교육대학교,416,68.3
2012,청주대학교,3009,47.8
2012,초당대학교(산업대),1015,64.3
2012,총신대학교,435,57.4
2012,추계예술대학교,299,16.4
2012,춘천교육대학교,456,67.0
2012,충남대학교,3999,54.1
2012,충북대학교,3478,55.1
2012,칼빈대학교,104,60.9
2012,탐라대학교,154,49.4
2012,평택대학교,824,57.2
2012,포항공과대학교,303,50.5
2012,한경대학교(산업대),1358,63.1
2012,한국과학기술원,828,37.1
2012,한국교원대학교,585,43.7
2012,한국교통대학교(산업대),1961,57.4
2012,한국국제대학교,617,75.7
2012,한국기술교육대학교,709,82.9
2012,한국산업기술대학교(산업대),1388,77.1
2012,한국성서대학교,197,62.5
2012,한국예술종합학교,465,18.6
2012,한국외국어대학교,1665,61.7
2012,한국외국어대학교(용인) _분교,1496,49.2
2012,한국전통문화대학교(각종),97,36.2
2012,한국체육대학교,558,53.9
2012,한국침례신학대학교,386,49.0
2012,한국항공대학교,953,74.9
2012,한남대학교,2519,55.8
2012,한동대학교,778,57.9
2012,한라대학교,586,58.6
2012,한려대학교(산업대),199,76.9
2012,한림대학교,1872,51.7
2012,한민학교,206,42.7
2012,한밭대학교(산업대),2213,69.9
2012,한북대학교,130,63.5
2012,한서대학교,1688,54.8
2012,한성대학교,1440,51.4
2012,한세대학교,517,61.4
2012,한신대학교,1160,56.9
2012,한양대학교,3757,62.7
2012,한양대학교(ERICA) _분교,2193,53.6
2012,한일장신대학교,325,38.9
2012,한중대학교,335,66.2
2012,협성대학교,902,60.0
2012,호남대학교,1527,57.5
2012,호남신학대학교,142,20.5
2012,호서대학교,2706,55.3
2012,호원대학교,1053,64.4
2012,홍익대학교,2328,57.9
2012,홍익대학교(세종) _분교,1461,48.8
2012,화성의과학대학교,37,54.5
2013,가야대학교 _제2캠퍼스,552,70.7
2013,가천대학교,3249,54.8
2013,가톨릭관동대학교,1455,60.3
2013,가톨릭꽃동네대학교,124,55.6
2013,가톨릭대학교,1439,49.9
2013,가톨릭대학교 _제2캠퍼스,120,85.3
2013,가톨릭대학교 _제3캠퍼스,39,0.0
2013,감리교신학대학교,220,0.0
2013,강남대학교,1697,53.3
2013,강서대학교,432,56.9
2013,강원대학교,2966,45.8
2013,강원대학교 _제2캠퍼스,1149,53.4
2013,건국대학교,3367,58.4
2013,건국대학교(글로컬) _분교,1658,46.9
2013,건양대학교,1316,69.0
2013,건양대학교 _제2캠퍼스,458,86.3
2013,경기대학교,2407,53.2
2013,경기대학교 _제2캠퍼스,479,54.6
2013,경남대학교,2863,55.0
2013,경동대학교,567,62.9
2013,경북대학교,5814,51.2
2013,경상국립대학교,3111,46.6
2013,경성대학교,2926,50.9
2013,경운대학교(산업대),1137,63.0
2013,경인교육대학교,406,75.4
2013,경인교육대학교 _제2캠퍼스,401,74.4
2013,경일대학교,814,67.0
2013,경희대학교,5506,52.5
2013,계명대학교,5050,52.2
2013,고려대학교,4043,69.1
2013,고려대학교(세종) _분교,1333,50.1
2013,고신대학교,796,60.6
2013,공주교육대학교,503,76.2
2013,광신대학교,166,65.8
2013,광운대학교,1664,62.6
2013,광주가톨릭대학교,23,0.0
2013,광주교육대학교,440,78.6
2013,광주대학교,1159,57.0
2013,광주대학교(산업대),46,51.1
2013,광주여자대학교,988,62.6
2013,국립강릉원주대학교,1245,49.5
2013,국립강릉원주대학교 _제2캠퍼스,413,52.4
2013,국립경국대학교,1335,49.5
2013,국립공주대학교,3253,50.3
2013,국립군산대학교,1565,49.6
2013,국립금오공과대학교,1238,70.1
2013,국립목포대학교,1564,45.3
2013,국립목포해양대학교,520,84.8
2013,국립부경대학교,3566,52.6
2013,국립순천대학교,1407,49.1
2013,국립창원대학교,1739,54.8
2013,국립한국해양대학교,1445,70.8
2013,국민대학교,3099,58.7
2013,극동대학교,829,55.6
2013,금강대학교,67,54.1
2013,나사렛대학교,1207,55.4
2013,남부대학교,699,63.5
2013,남서울대학교(산업대),2229,55.6
2013,단국대학교,2348,51.3
2013,단국대학교(천안) _분교,2548,49.5
2013,대구가톨릭대학교,2503,63.2
2013,대구교육대학교,531,68.4
2013,대구대학교,4018,53.2
2013,대구예술대학교,212,38.0
2013,대구외국어대학교,42,65.8
2013,대구한의대학교,1325,59.1
