기준연도,학교명,재학생,1인당장학금
2011,성균관대학교,"18,974",2458900
2011,성신여자대학교,"9,992",1517700
2011,세명대학교,"8,104",1253600
2011,세종대학교,"10,757",1180800
2011,세한대학교,"4,033",1675400
2011,수원가톨릭대학교,163,6486300
2011,수원대학교,"11,083",1070900
2011,숙명여자대학교,"10,430",1863300
2011,순복음총회신학교,181,1896000
2011,순천향대학교,"11,107",1561900
2011,숭실대학교,"13,360",1541500
2011,신경주대학교,"3,964",1370500
2011,신라대학교,"9,593",933200
2011,아신대학교,743,1047600
2011,아주대학교,"9,695",1370400
2011,안양대학교,"4,569",1087100
2011,안양대학교 _제2캠퍼스,489,861000
2011,연세대학교,"18,384",2698000
2011,연세대학교(미래) _분교,"7,761",1507700
2011,영남대학교,"23,033",1460800
2011,영남신학대학교,577,1432000
2011,영산대학교,"2,863",1288700
2011,영산대학교 _제2캠퍼스,"2,537",813400
2011,영산대학교(산업대),338,824100
2011,영산대학교(산업대) _제2캠퍼스,318,626600
2011,영산선학대학교,38,3930300
2011,예수대학교,582,1744300
2011,예원예술대학교,985,1565700
2011,예원예술대학교 _제2캠퍼스,0,0
2011,용인대학교,"6,060",1342400
2011,우석대학교,"7,407",1335800
2011,우송대학교,"6,055",1676400
2011,우송대학교(산업대),"1,927",1627400
2011,울산과학기술원,"1,671",6457300
2011,울산대학교,"13,436",1473900
2011,원광대학교,"16,647",1600200
2011,원광디지털대학교,"4,044",613500
2011,위덕대학교,"2,827",2142600
2011,유원대학교,"3,027",1395000
2011,을지대학교,880,1529400
2011,을지대학교 _제2캠퍼스,"4,638",1480700
2011,이화여자대학교,"14,959",1621500
2011,인제대학교,"9,145",1408200
2011,인제대학교 _제2캠퍼스,902,1085400
2011,인천가톨릭대학교,99,3820900
2011,인천가톨릭대학교 _제2캠퍼스,491,722000
2011,인천대학교,"12,029",971900
2011,인하대학교,"18,107",1404700
2011,장로회신학대학교,678,1487300
2011,전남대학교,"17,356",1220600
2011,전남대학교 _제2캠퍼스,"3,324",1134500
2011,전북대학교,"17,631",1217300
