기준연도,학교명,단과대학,학과,구분,학기,재학생,1인당장학금
2021,가톨릭관동대학교,공과대학,소프트웨어학과,주간,2학기,160,1302555.9
2021,가톨릭관동대학교,공과대학,전자공학과,주간,1학기,144,1358354.9
2021,가톨릭관동대학교,공과대학,전자공학과,주간,2학기,131,1375540.9
2021,가톨릭관동대학교,공과대학,창업지식재산학과,주간,1학기,34,1109577.1
2021,가톨릭관동대학교,공과대학,창업지식재산학과,주간,2학기,29,1569755.2
2021,가톨릭관동대학교,공과대학,토목공학과,주간,1학기,122,1199584.0
2021,가톨릭관동대학교,공과대학,토목공학과,주간,2학기,120,1117376.4
2021,가톨릭관동대학교,관광스포츠대학,경기지도학전공,주간,1학기,88,2690865.0
2021,가톨릭관동대학교,관광스포츠대학,경기지도학전공,주간,2학기,77,2582979.2
2021,가톨릭관동대학교,관광스포츠대학,관광경영학과,주간,1학기,21,1505690.0
2021,가톨릭관동대학교,관광스포츠대학,관광경영학과,주간,2학기,17,1051852.9
2021,가톨릭관동대학교,관광스포츠대학,관광경영학전공,주간,1학기,196,1267324.9
2021,가톨릭관동대학교,관광스포츠대학,관광경영학전공,주간,2학기,165,1484911.7
2021,가톨릭관동대학교,관광스포츠대학,스포츠건강관리학과,주간,1학기,12,1155575.8
2021,가톨릭관동대학교,관광스포츠대학,스포츠건강관리학전공,주간,1학기,159,1819691.7
2021,가톨릭관동대학교,관광스포츠대학,스포츠건강관리학전공,주간,2학기,155,1790417.1
2021,가톨릭관동대학교,관광스포츠대학,스포츠레저학전공,주간,1학기,200,1781337.5
2021,가톨릭관동대학교,관광스포츠대학,스포츠레저학전공,주간,2학기,175,1647209.6
2021,가톨릭관동대학교,관광스포츠대학,조리외식경영학과,주간,1학기,32,1405844.4
2021,가톨릭관동대학교,관광스포츠대학,조리외식경영학과,주간,2학기,30,1333426.7
2021,가톨릭관동대학교,관광스포츠대학,조리외식경영학전공,주간,1학기,177,1048923.7
2021,가톨릭관동대학교,관광스포츠대학,조리외식경영학전공,주간,2학기,145,1199628.3
2021,가톨릭관동대학교,관광스포츠대학,호텔경영학과,주간,1학기,27,1675648.1
2021,가톨릭관동대학교,관광스포츠대학,호텔경영학과,주간,2학기,24,1218029.2
2021,가톨릭관동대학교,관광스포츠대학,호텔경영학전공,주간,1학기,181,890293.0
2021,가톨릭관동대학교,관광스포츠대학,호텔경영학전공,주간,2학기,152,858546.4
2021,가톨릭관동대학교,사범대학,가정교육과,주간,1학기,21,1395974.8
2021,가톨릭관동대학교,사범대학,가정교육과,주간,2학기,18,1890897.2
2021,가톨릭관동대학교,사범대학,국어교육과,주간,1학기,128,1877164.7
2021,가톨릭관동대학교,사범대학,국어교육과,주간,2학기,120,2214005.7
2021,가톨릭관동대학교,사범대학,수학교육과,주간,1학기,130,1651683.1
2021,가톨릭관동대학교,사범대학,수학교육과,주간,2학기,122,2149086.8
2021,가톨릭관동대학교,사범대학,역사교육과,주간,1학기,104,1714452.0
2021,가톨릭관동대학교,사범대학,역사교육과,주간,2학기,98,1760583.3
2021,가톨릭관동대학교,사범대학,영어교육과,주간,1학기,111,1682247.6
2021,가톨릭관동대학교,사범대학,영어교육과,주간,2학기,108,1872952.1
2021,가톨릭관동대학교,사범대학,지리교육과,주간,1학기,103,1472439.3
2021,가톨릭관동대학교,사범대학,지리교육과,주간,2학기,95,1812453.7
2021,가톨릭관동대학교,사범대학,체육교육과,주간,1학기,166,2408128.2
2021,가톨릭관동대학교,사범대학,체육교육과,주간,2학기,151,2688148.1
2021,가톨릭관동대학교,사범대학,컴퓨터교육과,주간,1학기,90,1940491.0
2021,가톨릭관동대학교,사범대학,컴퓨터교육과,주간,2학기,78,2255805.3
2021,가톨릭관동대학교,사회과학대학,경영학과,주간,1학기,221,1057380.6
2021,가톨릭관동대학교,사회과학대학,경영학과,주간,2학기,191,1189799.7
2021,가톨릭관동대학교,사회과학대학,경찰행정학과,주간,1학기,38,1101766.6
2021,가톨릭관동대학교,사회과학대학,경찰행정학전공,주간,1학기,647,1501067.9
2021,가톨릭관동대학교,사회과학대학,경찰행정학전공,주간,2학기,604,1594869.1
2021,가톨릭관동대학교,사회과학대학,공공행정학과,주간,1학기,11,740157.3
2021,가톨릭관동대학교,사회과학대학,공공행정학전공,주간,1학기,89,1474187.6
2021,가톨릭관동대학교,사회과학대학,공공행정학전공,주간,2학기,98,1535547.2
2021,가톨릭관동대학교,사회과학대학,사회복지학과,주간,1학기,269,1857983.9
2021,가톨릭관동대학교,사회과학대학,사회복지학과,주간,2학기,256,1799214.6
2021,가톨릭관동대학교,사회과학대학,언어재활상담전공,주간,1학기,16,3252054.1
2021,가톨릭관동대학교,사회과학대학,언어재활상담전공,주간,2학기,16,3207531.2
2021,가톨릭관동대학교,사회과학대학,치매전문재활전공,주간,1학기,25,2850253.6
2021,가톨릭관동대학교,사회과학대학,치매전문재활전공,주간,2학기,22,2946595.5
2021,가톨릭관동대학교,사회과학대학,행정학과,주간,1학기,17,1456848.2
2021,가톨릭관동대학교,사회과학대학,행정학과,주간,2학기,12,1162691.7
2021,가톨릭관동대학교,의과대학,간호학과,주간,1학기,401,1440313.0
2021,가톨릭관동대학교,의과대학,간호학과,주간,2학기,396,1551503.7
2021,가톨릭관동대학교,의과대학,의예과,주간,1학기,116,1404874.1
2021,가톨릭관동대학교,의과대학,의예과,주간,2학기,115,1306519.2
2021,가톨릭관동대학교,의과대학,의학과,주간,1학기,241,1032473.0
2021,가톨릭관동대학교,의과대학,의학과,주간,2학기,240,1046616.9
2021,가톨릭관동대학교,인문대학,영어영문학과,주간,1학기,17,208915.3
2021,가톨릭관동대학교,휴먼서비스대학,산림치유학과,주간,1학기,58,2972022.2
2021,가톨릭관동대학교,휴먼서비스대학,산림치유학과,주간,2학기,57,2814523.2
2021,가톨릭관동대학교,휴먼서비스대학,언어재활상담학과,주간,1학기,69,2655643.0
2021,가톨릭관동대학교,휴먼서비스대학,언어재활상담학과,주간,2학기,62,2714232.7
2021,가톨릭관동대학교,휴먼서비스대학,중독재활학과,주간,1학기,54,2854369.1
2021,가톨릭관동대학교,휴먼서비스대학,중독재활학과,주간,2학기,51,2661585.1
2021,가톨릭관동대학교,휴먼서비스대학,치매전문재활학과,주간,1학기,70,2764963.9
2021,가톨릭관동대학교,휴먼서비스대학,치매전문재활학과,주간,2학기,68,2881820.6
2021,가톨릭관동대학교,항공대학,무인항공학과,주간,1학기,61,1624071.5
2021,가톨릭관동대학교,항공대학,무인항공학과,주간,2학기,53,1541418.9
2021,가톨릭관동대학교,항공대학,항공경영물류학과,주간,1학기,21,2375048.6
2021,가톨릭관동대학교,항공대학,항공경영물류학과,주간,2학기,43,1452347.4
2021,가톨릭관동대학교,항공대학,항공경영학과,주간,1학기,120,1207671.1
2021,가톨릭관동대학교,항공대학,항공경영학과,주간,2학기,88,1621939.9
2021,가톨릭관동대학교,항공대학,항공운항서비스학과,주간,1학기,136,1511266.4
2021,가톨릭관동대학교,항공대학,항공운항서비스학과,주간,2학기,139,1549452.7
2021,가톨릭관동대학교,항공대학,항공운항학과,주간,1학기,75,2430655.3
2021,가톨릭관동대학교,항공대학,항공운항학과,주간,2학기,66,2715102.3
2021,가톨릭관동대학교,항공대학,항공정비학과,주간,1학기,114,1947979.1
2021,가톨릭관동대학교,항공대학,항공정비학과,주간,2학기,111,2163217.9
2021,가톨릭관동대학교,의료융합대학,바이오융합공학과,주간,1학기,34,894413.5
