통합_학과별_장학금_21-23,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,단과대학,학과,구분,학기,"재학생
(A)","재학생 1인당
장학금
(D=B/A)",,,,,,,,,,,,,
2023,부산대학교,사범대학,일반사회교육과,주간,1학기,82,"1,476,281.3",,,,,,,,,,,,,
2023,부산대학교,사범대학,일반사회교육과,주간,2학기,71,"1,502,599.5",,,,,,,,,,,,,
2023,부산대학교,사범대학,지구과학교육과,주간,1학기,70,"1,228,744.9",,,,,,,,,,,,,
2023,부산대학교,사범대학,지구과학교육과,주간,2학기,67,"1,527,684.3",,,,,,,,,,,,,
2023,부산대학교,사범대학,지리교육과,주간,1학기,85,"1,446,764.1",,,,,,,,,,,,,
2023,부산대학교,사범대학,지리교육과,주간,2학기,74,"1,759,020.3",,,,,,,,,,,,,
2023,부산대학교,사범대학,체육교육과,주간,1학기,94,"2,024,176.7",,,,,,,,,,,,,
2023,부산대학교,사범대학,체육교육과,주간,2학기,97,"2,116,628",,,,,,,,,,,,,
2023,부산대학교,사범대학,특수교육과,주간,1학기,66,"1,634,188",,,,,,,,,,,,,
2023,부산대학교,사범대학,특수교육과,주간,2학기,65,"1,999,229.2",,,,,,,,,,,,,
2023,부산대학교,사범대학,화학교육과,주간,1학기,72,"1,634,324.9",,,,,,,,,,,,,
2023,부산대학교,사범대학,화학교육과,주간,2학기,64,"1,754,363.9",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,문헌정보학과,주간,1학기,133,"1,615,793.5",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,문헌정보학과,주간,2학기,123,"1,844,944.5",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,미디어커뮤니케이션학과,주간,1학기,164,"1,430,613.9",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,미디어커뮤니케이션학과,주간,2학기,149,"1,822,149.5",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,사회복지학과,주간,1학기,209,"1,604,848.4",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,사회복지학과,주간,2학기,187,"1,764,159",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,사회학과,주간,1학기,209,"1,385,935.5",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,사회학과,주간,2학기,187,"1,590,742",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,심리학과,주간,1학기,194,"1,459,428.3",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,심리학과,주간,2학기,191,"1,587,693.6",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,정치외교학과,주간,1학기,172,"1,210,514",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,정치외교학과,주간,2학기,145,"1,236,047.7",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,행정학과,주간,1학기,167,"1,198,184.4",,,,,,,,,,,,,
2023,부산대학교,사회과학대학,행정학과,주간,2학기,163,"1,296,798.7",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,IT응용공학과,주간,1학기,139,"1,459,810.9",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,IT응용공학과,주간,2학기,128,"1,541,480.2",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,동물생명자원과학과,주간,1학기,126,"1,295,278.5",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,동물생명자원과학과,주간,2학기,111,"1,483,651.3",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,바이오산업기계공학과,주간,1학기,106,"1,541,450.9",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,바이오산업기계공학과,주간,2학기,104,"1,572,586.8",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,바이오소재과학과,주간,1학기,121,"1,684,278.6",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,바이오소재과학과,주간,2학기,112,"1,694,288.2",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,바이오환경에너지학과,주간,1학기,125,"1,608,555.3",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,바이오환경에너지학과,주간,2학기,117,"1,859,843.8",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,생명환경화학과,주간,1학기,143,"1,513,195.8",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,생명환경화학과,주간,2학기,125,"1,763,409.2",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,식물생명과학과,주간,1학기,123,"1,468,263",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,식물생명과학과,주간,2학기,103,"1,773,248.6",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,식품공학과,주간,1학기,122,"1,573,006.1",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,식품공학과,주간,2학기,118,"1,838,185.8",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,식품자원경제학과,주간,1학기,111,"1,088,514.6",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,식품자원경제학과,주간,2학기,106,"1,260,892.5",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,원예생명과학과,주간,1학기,132,"1,611,873.3",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,원예생명과학과,주간,2학기,116,"1,799,917",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,조경학과,주간,1학기,163,"1,285,388",,,,,,,,,,,,,
2023,부산대학교,생명자원과학대학,조경학과,주간,2학기,145,"1,517,746.2",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,스포츠과학과,주간,1학기,136,"1,138,335.3",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,스포츠과학과,주간,2학기,132,"1,476,824.2",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,식품영양학과,주간,1학기,194,"1,329,168.2",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,식품영양학과,주간,2학기,167,"1,700,144.4",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,실내환경디자인학과,주간,1학기,121,"1,615,029.1",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,실내환경디자인학과,주간,2학기,115,"1,697,249.3",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,아동가족학과,주간,1학기,105,"1,544,906.4",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,아동가족학과,주간,2학기,92,"1,840,131.4",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,의류학과,주간,1학기,178,"1,509,784.6",,,,,,,,,,,,,
2023,부산대학교,생활과학대학,의류학과,주간,2학기,158,"1,547,571.3",,,,,,,,,,,,,
2023,부산대학교,약학대학,약학부,주간,1학기,70,"1,822,959",,,,,,,,,,,,,
2023,부산대학교,약학대학,약학부,주간,2학기,71,"1,550,431.3",,,,,,,,,,,,,
2023,부산대학교,약학대학,약학부(통합6년제),주간,1학기,70,"1,784,439.1",,,,,,,,,,,,,
2023,부산대학교,약학대학,약학부(통합6년제),주간,2학기,61,"1,686,294",,,,,,,,,,,,,
2023,부산대학교,약학대학,약학전공,주간,1학기,103,"1,487,031.1",,,,,,,,,,,,,
2023,부산대학교,약학대학,약학전공,주간,2학기,103,"1,709,943.3",,,,,,,,,,,,,
2023,부산대학교,약학대학,약학전공(통합6년제),주간,1학기,25,"1,305,690",,,,,,,,,,,,,
2023,부산대학교,약학대학,약학전공(통합6년제),주간,2학기,24,"1,221,650",,,,,,,,,,,,,
2023,부산대학교,약학대학,제약학전공,주간,1학기,100,"1,702,566",,,,,,,,,,,,,
2023,부산대학교,약학대학,제약학전공,주간,2학기,100,"1,814,328.1",,,,,,,,,,,,,
2023,부산대학교,약학대학,제약학전공(통합6년제),주간,1학기,22,"1,565,121.4",,,,,,,,,,,,,
2023,부산대학교,약학대학,제약학전공(통합6년제),주간,2학기,21,"1,712,649.1",,,,,,,,,,,,,
2023,부산대학교,예술대학,디자인학과,주간,1학기,228,"1,478,404.9",,,,,,,,,,,,,
2023,부산대학교,예술대학,디자인학과,주간,2학기,218,"1,636,253.3",,,,,,,,,,,,,
2023,부산대학교,예술대학,무용학과,주간,1학기,134,"1,526,955.2",,,,,,,,,,,,,
2023,부산대학교,예술대학,무용학과,주간,2학기,128,"1,701,748.7",,,,,,,,,,,,,
2023,부산대학교,예술대학,미술학과,주간,1학기,178,"1,543,392.4",,,,,,,,,,,,,
2023,부산대학교,예술대학,미술학과,주간,2학기,178,"1,591,667.8",,,,,,,,,,,,,
2023,부산대학교,예술대학,예술문화영상학과,주간,1학기,123,"1,597,047.3",,,,,,,,,,,,,
2023,부산대학교,예술대학,예술문화영상학과,주간,2학기,117,"1,572,923.6",,,,,,,,,,,,,
2023,부산대학교,예술대학,음악학과,주간,1학기,261,"1,532,685.8",,,,,,,,,,,,,
2023,부산대학교,예술대학,음악학과,주간,2학기,246,"1,697,701.2",,,,,,,,,,,,,
2023,부산대학교,예술대학,조형학과,주간,1학기,141,"1,491,676.3",,,,,,,,,,,,,
2023,부산대학교,예술대학,조형학과,주간,2학기,134,"1,811,036.7",,,,,,,,,,,,,
2023,부산대학교,예술대학,한국음악학과,주간,1학기,154,"1,756,163.8",,,,,,,,,,,,,
2023,부산대학교,예술대학,한국음악학과,주간,2학기,149,"1,807,009.9",,,,,,,,,,,,,
2023,부산대학교,의과대학,의예과,주간,1학기,249,"1,588,180.8",,,,,,,,,,,,,
2023,부산대학교,의과대학,의예과,주간,2학기,248,"1,221,747.7",,,,,,,,,,,,,
2023,부산대학교,의과대학,의학과,주간,1학기,479,"1,745,288.1",,,,,,,,,,,,,
2023,부산대학교,의과대학,의학과,주간,2학기,481,"1,780,000.2",,,,,,,,,,,,,
2023,부산대학교,인문대학,고고학과,주간,1학기,116,"1,380,508.3",,,,,,,,,,,,,
2023,부산대학교,인문대학,고고학과,주간,2학기,111,"1,627,563.2",,,,,,,,,,,,,
2023,부산대학교,인문대학,국어국문학과,주간,1학기,170,"1,128,978",,,,,,,,,,,,,
2023,부산대학교,인문대학,국어국문학과,주간,2학기,158,"1,405,810.6",,,,,,,,,,,,,
2023,부산대학교,인문대학,노어노문학과,주간,1학기,117,"1,244,580.5",,,,,,,,,,,,,
2023,부산대학교,인문대학,노어노문학과,주간,2학기,109,"1,527,481.7",,,,,,,,,,,,,
2023,부산대학교,인문대학,독어독문학과,주간,1학기,135,"1,199,203.5",,,,,,,,,,,,,
2023,부산대학교,인문대학,독어독문학과,주간,2학기,118,"1,209,090.5",,,,,,,,,,,,,
2023,부산대학교,인문대학,불어불문학과,주간,1학기,154,"1,147,307.8",,,,,,,,,,,,,
2023,부산대학교,인문대학,불어불문학과,주간,2학기,138,"1,536,840.8",,,,,,,,,,,,,
2023,부산대학교,인문대학,사학과,주간,1학기,150,"1,424,713.8",,,,,,,,,,,,,
2023,부산대학교,인문대학,사학과,주간,2학기,134,"1,619,406.9",,,,,,,,,,,,,
2023,부산대학교,인문대학,언어정보학과,주간,1학기,130,"1,235,986.4",,,,,,,,,,,,,
2023,부산대학교,인문대학,언어정보학과,주간,2학기,111,"1,546,571.4",,,,,,,,,,,,,
2023,부산대학교,인문대학,영어영문학과,주간,1학기,231,"1,080,869.6",,,,,,,,,,,,,
2023,부산대학교,인문대학,영어영문학과,주간,2학기,199,"1,140,663.1",,,,,,,,,,,,,
2023,부산대학교,인문대학,일어일문학과,주간,1학기,157,"1,287,363.4",,,,,,,,,,,,,
2023,부산대학교,인문대학,일어일문학과,주간,2학기,146,"1,115,966.9",,,,,,,,,,,,,
2023,부산대학교,인문대학,중어중문학과,주간,1학기,142,"1,261,632.1",,,,,,,,,,,,,
2023,부산대학교,인문대학,중어중문학과,주간,2학기,143,"1,264,609.9",,,,,,,,,,,,,
2023,부산대학교,인문대학,철학과,주간,1학기,122,"1,115,468.4",,,,,,,,,,,,,
2023,부산대학교,인문대학,철학과,주간,2학기,117,"1,214,764",,,,,,,,,,,,,
2023,부산대학교,인문대학,한문학과,주간,1학기,127,"1,303,139.1",,,,,,,,,,,,,
2023,부산대학교,인문대학,한문학과,주간,2학기,113,"1,391,858.8",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,대기환경과학과,주간,1학기,187,"1,306,015.2",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,대기환경과학과,주간,2학기,175,"1,415,378.1",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,물리학과,주간,1학기,254,"1,222,816",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,물리학과,주간,2학기,216,"1,380,385.1",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,미생물학과,주간,1학기,205,"1,330,014.4",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,미생물학과,주간,2학기,185,"1,557,992.6",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,분자생물학과,주간,1학기,229,"1,328,072.1",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,분자생물학과,주간,2학기,206,"1,565,533.4",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,생명과학과,주간,1학기,219,"1,417,787.6",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,생명과학과,주간,2학기,204,"1,618,034.5",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,수학과,주간,1학기,204,"1,350,720.6",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,수학과,주간,2학기,186,"1,445,005.5",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,지질환경과학과,주간,1학기,182,"1,285,265.3",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,지질환경과학과,주간,2학기,168,"1,436,289.4",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,통계학과,주간,1학기,157,"1,604,997.5",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,통계학과,주간,2학기,143,"1,748,223.4",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,해양학과,주간,1학기,157,"1,336,418.4",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,해양학과,주간,2학기,146,"1,395,287.6",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,화학과,주간,1학기,327,"1,320,194",,,,,,,,,,,,,
2023,부산대학교,자연과학대학,화학과,주간,2학기,295,"1,512,567.9",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,데이터사이언스전공,주간,1학기,32,"1,990,505.9",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,데이터사이언스전공,주간,2학기,27,"2,501,495.9",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,의생명공학전공,주간,1학기,26,"1,192,896.2",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,의생명공학전공,주간,2학기,26,"2,278,440.8",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,의생명융합공학부,주간,1학기,160,"1,596,131",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,의생명융합공학부,주간,2학기,134,"1,611,343.2",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,정보컴퓨터공학부,주간,1학기,253,"1,845,027",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,정보컴퓨터공학부,주간,2학기,272,"1,743,370.7",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,정보컴퓨터공학부 인공지능전공,주간,1학기,71,"1,318,833.8",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,정보컴퓨터공학부 인공지능전공,주간,2학기,65,"1,819,061.8",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,정보컴퓨터공학부 컴퓨터공학전공,주간,1학기,90,"1,677,555.6",,,,,,,,,,,,,
2023,부산대학교,정보의생명공학대학,정보컴퓨터공학부 컴퓨터공학전공,주간,2학기,88,"1,936,833.2",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,경찰행정학과,주간,1학기,260,"1,371,994.7",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,경찰행정학과,주간,2학기,237,"1,131,601.8",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,국제학부,주간,1학기,265,"1,724,961.1",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,국제학부,주간,2학기,241,"1,662,205.4",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,국제학부(글로벌자율전공),주간,1학기,102,"1,705,205.9",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,국제학부(글로벌자율전공),주간,2학기,129,"1,230,720.9",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,국제학부(글로벌한국학전공),주간,1학기,34,"1,636,794.1",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,국제학부(글로벌한국학전공),주간,2학기,30,"1,600,440.6",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,국제학부(외교전공),주간,1학기,25,"2,096,815.2",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,국제학부(외교전공),주간,2학기,18,"1,970,310.8",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,글로벌미래융합학부,주간,1학기,41,"3,078,609.8",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,글로벌미래융합학부,주간,2학기,40,"2,958,350",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,사이버경찰학과,주간,1학기,83,"2,013,218.3",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,사이버경찰학과,주간,2학기,83,"1,724,182.4",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,사회복지학과,주간,1학기,139,"2,022,171.3",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,사회복지학과,주간,2학기,128,"1,811,744.8",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,사회체육학과,주간,1학기,149,"2,281,942.8",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,사회체육학과,주간,2학기,154,"1,742,558.4",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,상담심리학과,주간,1학기,81,"2,044,856.1",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,상담심리학과,주간,2학기,77,"1,720,289.1",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,스마트융합보안학과,주간,1학기,59,"2,292,200",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,스마트융합보안학과,주간,2학기,54,"2,030,007.6",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,스포츠재활학과,주간,1학기,93,"2,336,819.4",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,스포츠재활학과,주간,2학기,81,"1,944,542.1",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,외교・국제개발학부(국제개발협력전공),주간,1학기,15,"2,589,877.3",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,외교・국제개발학부(국제개발협력전공),주간,2학기,10,"2,282,158",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,외교・국제개발학부(외교전공),주간,1학기,71,"1,757,673.4",,,,,,,,,,,,,
2023,부산외국어대학교,사회과학대학,외교・국제개발학부(외교전공),주간,2학기,64,"1,590,803.1",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,경영학과,주간,1학기,173,"1,132,874.4",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,경영학과,주간,2학기,156,"1,203,609.6",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,경영학부(경영전공),주간,1학기,49,"1,794,387.8",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,경영학부(경영전공),주간,2학기,46,"967,869.6",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,경영학부(회계전공),주간,1학기,19,"2,201,368.4",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,경영학부(회계전공),주간,2학기,18,"1,610,204.4",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,경제금융학과,주간,1학기,92,"1,262,013",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,경제금융학과,주간,2학기,79,"1,037,259.8",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제마케팅학과,주간,1학기,81,"2,028,045.2",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제마케팅학과,주간,2학기,78,"1,809,262.9",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제무역・경제금융학부(경제금융전공),주간,1학기,14,"2,067,500",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제무역・경제금융학부(경제금융전공),주간,2학기,13,"1,076,076.9",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제무역・경제금융학부(국제무역전공),주간,1학기,43,"1,879,541.4",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제무역・경제금융학부(국제무역전공),주간,2학기,31,"1,269,296.8",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제무역학과,주간,1학기,160,"1,685,608.5",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제무역학과,주간,2학기,131,"1,654,799.1",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제비서학과,주간,1학기,91,"1,848,056.2",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,국제비서학과,주간,2학기,80,"1,747,702",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,세무회계학과,주간,1학기,145,"973,785.4",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,세무회계학과,주간,2학기,121,"947,372.9",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,스마트자산경영학과,주간,1학기,18,"1,502,555.6",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,스마트자산경영학과,주간,2학기,18,"963,722.2",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,항공서비스학과,주간,1학기,116,"2,030,707.9",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,항공서비스학과,주간,2학기,110,"1,828,142.1",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,호텔・관광학부,주간,1학기,65,"1,445,107.7",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,호텔・관광학부(국제문화관광전공),주간,1학기,75,"1,316,956.8",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,호텔・관광학부(국제문화관광전공),주간,2학기,69,"1,545,630.5",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,호텔・관광학부(국제비서전공),주간,2학기,22,"977,136.4",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,호텔・관광학부(호텔・컨벤션전공),주간,1학기,41,"2,011,975.6",,,,,,,,,,,,,
2023,부산외국어대학교,상경대학,호텔・관광학부(호텔・컨벤션전공),주간,2학기,73,"1,542,354.5",,,,,,,,,,,,,
2023,부산외국어대학교,영일중대학,G2(영·중)융합학부,주간,1학기,72,"1,730,111.5",,,,,,,,,,,,,
2023,부산외국어대학교,영일중대학,G2(영·중)융합학부,주간,2학기,55,"1,814,756",,,,,,,,,,,,,
2023,부산외국어대학교,영일중대학,일본어창의융합학부,주간,1학기,244,"1,766,411.7",,,,,,,,,,,,,
2023,부산외국어대학교,영일중대학,일본어창의융합학부,주간,2학기,201,"1,682,595.1",,,,,,,,,,,,,
2023,부산외국어대학교,IT대학,빅데이터학과,주간,1학기,12,"1,578,583.3",,,,,,,,,,,,,
2023,부산외국어대학교,IT대학,빅데이터학과,주간,2학기,11,"2,086,300",,,,,,,,,,,,,
2023,부산외국어대학교,IT대학,인공지능융합학과,주간,1학기,18,"2,438,640",,,,,,,,,,,,,
2023,부산외국어대학교,IT대학,인공지능융합학과,주간,2학기,25,"1,351,702.4",,,,,,,,,,,,,
2023,부산외국어대학교,IT대학,컴퓨터공학과,주간,1학기,83,"2,239,566.5",,,,,,,,,,,,,
2023,부산외국어대학교,IT대학,컴퓨터공학과,주간,2학기,79,"1,601,555.1",,,,,,,,,,,,,
2023,부산외국어대학교,글로벌비즈니스대학,국제무역・마케팅학부(국제마케팅전공),주간,1학기,35,"1,535,090",,,,,,,,,,,,,
2023,부산외국어대학교,글로벌비즈니스대학,국제무역・마케팅학부(국제마케팅전공),주간,2학기,22,"1,416,694.5",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,G2융합학과,주간,1학기,58,"1,827,978.6",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,G2융합학과,주간,2학기,64,"1,840,104.8",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,국제문화비즈니스학부,주간,1학기,35,"1,390,885.7",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,국제문화비즈니스학부,주간,2학기,28,"1,633,129.3",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,국제문화비즈니스학부(G2(미・중)문화비즈니스전공),주간,2학기,1,0,,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,국제문화비즈니스학부(인도지역통상전공),주간,2학기,1,0,,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,미얀마어과,주간,1학기,16,"2,864,467.3",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,미얀마어과,주간,2학기,14,"1,934,247.1",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,베트남어과,주간,1학기,89,"2,025,148.3",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,베트남어과,주간,2학기,93,"1,831,562.3",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아랍학과,주간,1학기,70,"1,484,677.3",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아랍학과,주간,2학기,59,"1,516,764.7",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아세안학부,주간,1학기,75,"2,592,427.2",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아세안학부(미얀마어전공),주간,2학기,2,"1,618,000",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아세안학부(베트남어전공),주간,2학기,31,"1,076,000",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아세안학부(인도네시아・말레이시아전공),주간,1학기,1,"5,311,096",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아세안학부(인도네시아・말레이시아전공),주간,2학기,20,"1,625,850",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아세안학부(인도어전공),주간,2학기,3,"2,940,666.7",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,아세안학부(태국어전공),주간,2학기,10,"1,764,400",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,인도네시아・말레이시아학과,주간,1학기,46,"2,130,203",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,인도네시아・말레이시아학과,주간,2학기,43,"2,040,854.4",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,인도지역통상학과,주간,1학기,36,"1,145,252.4",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,인도지역통상학과,주간,2학기,34,"788,074.9",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,일본어융합학부,주간,1학기,131,"2,210,011.3",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,일본어융합학부,주간,2학기,129,"1,797,725.4",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,일본어융합학부(비즈니스일본어전공),주간,1학기,101,"2,015,331.2",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,일본어융합학부(비즈니스일본어전공),주간,2학기,111,"1,905,609.2",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,일본어융합학부(일본IT전공),주간,1학기,54,"2,108,011.8",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,일본어융합학부(일본IT전공),주간,2학기,52,"2,183,156.2",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,일본어융합학부(한일문화콘텐츠전공),주간,1학기,89,"2,034,694",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,일본어융합학부(한일문화콘텐츠전공),주간,2학기,84,"1,897,309.2",,,,,,,,,,,,,
2023,부산외국어대학교,아시아대학,중국학부,주간,1학기,91,"1,591,318.7",,,,,,,,,,,,,
