기준년도,학교,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
,,자연과학계열,857,786,29,29.6,27.1
,,공학계열,"2,402","2,341",68,35.3,34.4
,,인문ㆍ사회계열,"4,038","4,396",127,31.8,34.6
,,의학계열,0,0,0,0,0
,덕성여자대학교,의학계열,0,0,0,0,0
,,자연과학계열,"1,342","1,457",40,33.6,36.4
,,예ㆍ체능계열,714,797,23,31,34.7
,,인문ㆍ사회계열,"3,389","4,321",114,29.7,37.9
,,공학계열,362,378,10,36.2,37.8
,동국대학교,인문ㆍ사회계열,"9,609","11,135",294,32.7,37.9
,,의학계열,166,163,108,1.5,1.5
,,자연과학계열,"1,794","1,815",106,16.9,17.1
,,예ㆍ체능계열,"1,559","1,693",36,43.3,47
,,공학계열,"3,624","4,172",123,29.5,33.9
,동국대학교(WISE) _분교,자연과학계열,"1,644","1,698",74,22.2,22.9
,,인문ㆍ사회계열,"4,822","5,443",158,30.5,34.4
,,의학계열,604,664,108,5.6,6.1
,,예ㆍ체능계열,680,665,16,42.5,41.6
,,공학계열,"1,062","1,057",26,40.8,40.7
,동덕여자대학교,의학계열,0,0,0,0,0
,,공학계열,3,2,0,0,0
,,자연과학계열,"1,448","1,526",41,35.3,37.2
,,인문ㆍ사회계열,"3,132","4,020",129,24.3,31.2
,,예ㆍ체능계열,"3,123","3,030",71,44,42.7
,동명대학교,인문ㆍ사회계열,"3,449","3,551",114,30.3,31.1
,,예ㆍ체능계열,"1,118",956,31,36.1,30.8
,,자연과학계열,575,762,16,35.9,47.6
,,의학계열,0,0,0,0,0
,,공학계열,"3,658","3,694",103,35.5,35.9
,동명정보대학교,예ㆍ체능계열,0,37,0,0,0
,,공학계열,0,100,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,92,0,0,0
,,의학계열,0,0,0,0,0
,동서대학교,예ㆍ체능계열,"1,822","2,009",62,29.4,32.4
,,자연과학계열,775,785,27,28.7,29.1
,,인문ㆍ사회계열,"5,117","5,809",144,35.5,40.3
,,의학계열,0,0,0,0,0
,,공학계열,"3,296","3,226",102,32.3,31.6
,동신대학교,예ㆍ체능계열,472,376,13,36.3,28.9
,,의학계열,241,284,22,11,12.9
,,자연과학계열,"2,864","2,998",80,35.8,37.5
,,인문ㆍ사회계열,"2,850","2,959",89,32,33.2
,,공학계열,"1,313","1,060",37,35.5,28.6
,동아대학교,인문ㆍ사회계열,"10,319","11,941",315,32.8,37.9
,,자연과학계열,"3,211","3,260",128,25.1,25.5
,,공학계열,"5,698","6,469",169,33.7,38.3
,,의학계열,477,427,139,3.4,3.1
,,예ㆍ체능계열,"2,683","2,449",72,37.3,34
,동양대학교,예ㆍ체능계열,416,310,16,26,19.4
,,공학계열,"2,140","1,871",60,35.7,31.2
,,인문ㆍ사회계열,"2,302","2,218",64,36,34.7
,,의학계열,0,0,0,0,0
,,자연과학계열,171,196,5,34.2,39.2
,동의대학교,공학계열,"5,158","5,386",156,33.1,34.5
,,자연과학계열,"2,718","2,639",86,31.6,30.7
,,의학계열,275,264,34,8.1,7.8
,,예ㆍ체능계열,"1,886","1,634",48,39.3,34
