기준년도,설립구분,지역,학교명,대계열,중도탈락률(%),신입생_충원율(%),신입생_경쟁률,신입생_충원율_평균_지역기준,신입생_충원율_표준편차_지역기준,신입생_충원안정성비율_지역기준,전임교원1인당재학생,취업률(%),진로진출률(%),졸업자대비진로성취(%),재학생1인당전임교원,1인당장학금,진학률(%),등록금,수도권여부,신입생_충원율_평균_수도권여부기준,신입생_충원율_편차_수도권여부기준,신입생_충원율_표준편차_수도권여부기준,신입생_충원안정성비율_수도권여부기준,재학생충원율_평균_지역기준_,재학생충원율_표준편차_지역기준_,재학생충원율_편차_지역기준,재학생충원안정성비율_지역기준,재학생충원율_평균_수도권여부기준,재학생충원율_표준편차_수도권여부기준,재학생충원율_편차_수도권여부기준,재학생충원안정성비율_수도권여부기준,재학생충원율,신입생_충원율_편차_지역구분,1인당장학금대비취업률(단위보정)
2014,사립,경남,경남대학교,예체능계열,4.62,98.87,3.44,96.135,9.1443,0.0951,37.46,48.94,51.01,49.7,0.026694045,3130643.155,2.07,7800000,비수도권,96.92227166,1.947728337,11.33038568,0.171903092,95.06666667,12.17428985,8.933333333,0.733786812,100.6876957,22.52565465,3.312304251,0.14704586,104,2.735,15.63257055
2014,사립,경남,경남대학교,인문사회계열,4.49,98.76,4.16,95.2986,6.9969,0.0734,34.46,48.64,50.51,48.33,0.029020979,2470732.4,1.87,6041918.919,비수도권,96.92227166,1.837728337,11.33038568,0.162194685,99.58,9.249432415,6.02,0.650850747,100.6876957,22.52565465,4.912304251,0.218075982,105.6,3.4614,19.6864703
2014,사립,경남,경남대학교,자연과학계열,2.88,99.25,4.92,91.3817,12.9714,0.1419,29.9,55.59,58.76,56.83,0.033442982,2846677.403,3.17,6921555.556,비수도권,96.92227166,2.327728337,11.33038568,0.205441227,98.85,9.86998818,1.35,0.136778279,100.6876957,22.52565465,-0.487695749,0.02165068,100.2,7.8683,19.52802939
2014,사립,강원,경동대학교,공학계열,7.09,98.1,4.48,91.8525,21.7698,0.237,19.57,80.56,90.32,80.49,0.051094891,3381786.667,9.76,7613920,비수도권,96.92227166,1.177728337,11.33038568,0.103944241,100.88,11.44277064,-11.18,0.9770361,100.6876957,22.52565465,-10.98769575,0.487785857,89.7,6.2475,23.82172737
2014,사립,강원,경동대학교,예체능계열,9.83,100,3.65,92.9614,18.4641,0.1986,13.14,66.04,69.37,61.67,0.076086957,5601333.333,3.33,7904600,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,92.08,17.92085377,-22.88,1.276724886,100.6876957,22.52565465,-31.48769575,1.397859296,69.2,7.0386,11.79004999
2014,사립,강원,경동대학교,인문사회계열,9.55,90.36,4.31,90.2512,15.9108,0.1763,33.66,56.27,58.56,53.59,0.029708853,3260445.917,2.29,5849930.769,비수도권,96.92227166,-6.562271663,11.33038568,0.579174606,108.28,11.52787925,-10.58,0.917775054,100.6876957,22.52565465,-2.987695749,0.132635246,97.7,0.1088,17.25837552
2014,사립,강원,경동대학교,자연과학계열,4.28,94.72,4.45,93.285,10.4671,0.1122,34.88,72.54,73.23,72.22,0.028667791,3533480.746,0.69,8061044.444,비수도권,96.92227166,-2.202271663,11.33038568,0.194368641,103.8,7.876547467,-10.5,1.33307138,100.6876957,22.52565465,-7.387695749,0.327968082,93.3,1.435,20.52933218
2014,사립,강원,경동대학교 _제3캠퍼스,자연과학계열,1.63,99.58,4.78,93.285,10.4671,0.1122,32.77,,,,0.03051882,3880769.765,,9477000,비수도권,96.92227166,2.657728337,11.33038568,0.234566449,103.8,7.876547467,6.3,0.799842828,100.6876957,22.52565465,9.412304251,0.4178482,110.1,6.295,
2014,사립,경기,경동대학교 _제4캠퍼스,공학계열,2.56,98.48,6.79,99.0709,3.6269,0.0366,17.5,,,,0.057142857,4145173.529,,8640000,수도권,97.59166667,0.888333333,9.361214749,0.094895092,111.715,18.90784507,-5.615,0.296966681,111.4750958,26.52249177,-5.375095785,0.202661795,106.1,-0.5909,
2014,사립,경기,경동대학교 _제4캠퍼스,예체능계열,12.72,96.97,5.64,98.4996,4.878,0.0495,18.5,,,,0.054054054,3209800,,8640000,수도권,97.59166667,-0.621666667,9.361214749,0.06640876,103.873913,14.21820911,8.226086957,0.578559992,111.4750958,26.52249177,0.624904215,0.023561294,112.1,-1.5296,
