기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100"
2012,단국대학교(천안) _분교,자연과학계열,2326,106.5
2012,단국대학교(천안) _분교,공학계열,2109,116.8
2012,단국대학교(천안) _분교,의학계열,440,108.2
2012,단국대학교(천안) _분교,예ㆍ체능계열,1930,106.2
2012,대구가톨릭대학교,인문ㆍ사회계열,5949,109.7
2012,대구가톨릭대학교,자연과학계열,3312,102.4
2012,대구가톨릭대학교,공학계열,1807,108.1
2012,대구가톨릭대학교,의학계열,160,113.1
2012,대구가톨릭대학교,예ㆍ체능계열,1524,97.2
2012,대구교육대학교,인문ㆍ사회계열,858,108.5
2012,대구교육대학교,자연과학계열,589,105.4
2012,대구교육대학교,예ㆍ체능계열,362,108.3
2012,대구대학교,공학계열,3906,104.7
2012,대구대학교,자연과학계열,3583,100.6
2012,대구대학교,인문ㆍ사회계열,9033,110.6
2012,대구대학교,예ㆍ체능계열,1680,100.1
2012,대구예술대학교,예ㆍ체능계열,1940,68.2
2012,대구외국어대학교,인문ㆍ사회계열,520,72.1
2012,대구한의대학교,인문ㆍ사회계열,2065,97
2012,대구한의대학교,자연과학계열,2979,97.2
2012,대구한의대학교,공학계열,842,85.5
2012,대구한의대학교,의학계열,444,99.3
2012,대구한의대학교,예ㆍ체능계열,690,82.2
2012,대신대학교,예ㆍ체능계열,170,62.4
2012,대신대학교,인문ㆍ사회계열,425,82.4
2012,대전가톨릭대학교,인문ㆍ사회계열,160,74.4
2012,대전대학교,예ㆍ체능계열,823,81
2012,대전대학교,의학계열,296,109.5
2012,대전대학교,공학계열,2093,94.3
2012,대전대학교,인문ㆍ사회계열,4879,106.4
2012,대전대학교,자연과학계열,1645,110.8
2012,대전신학대학교,인문ㆍ사회계열,240,69.6
2012,대진대학교,공학계열,2318,96.5
2012,대진대학교,자연과학계열,830,99
2012,대진대학교,인문ㆍ사회계열,3470,116
2012,대진대학교,예ㆍ체능계열,1182,96
2012,덕성여자대학교,자연과학계열,1220,105.7
2012,덕성여자대학교,공학계열,364,102.2
2012,덕성여자대학교,예ㆍ체능계열,694,114.1
2012,덕성여자대학교,인문ㆍ사회계열,2882,130.2
2012,동국대학교,예ㆍ체능계열,970,121
2012,동국대학교,공학계열,3099,118.8
2012,동국대학교,자연과학계열,1448,105.7
2012,동국대학교,인문ㆍ사회계열,5343,142.7
2012,동국대학교(WISE) _분교,인문ㆍ사회계열,4220,117
2012,동국대학교(WISE) _분교,자연과학계열,1598,106.8
2012,동국대학교(WISE) _분교,공학계열,1035,90.5
2012,동국대학교(WISE) _분교,의학계열,372,115.1
2012,동국대학교(WISE) _분교,예ㆍ체능계열,605,95.7
2012,동덕여자대학교,인문ㆍ사회계열,2948,128.8
2012,동덕여자대학교,자연과학계열,1280,107.6
2012,동덕여자대학교,예ㆍ체능계열,2560,101.8
2012,동명대학교,인문ㆍ사회계열,3320,103.3
2012,동명대학교,자연과학계열,340,157.6
2012,동명대학교,공학계열,3800,102.9
2012,동명대학교,예ㆍ체능계열,1280,79.4
2012,동서대학교,인문ㆍ사회계열,4940,115.9
