기준년도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%)
2010,강원대학교 _제2캠퍼스,자연과학계열,1663,54,3.25
2010,건국대학교,공학계열,7173,139,1.94
2010,건국대학교,예체능계열,3168,36,1.14
2010,건국대학교,의학계열,378,5,1.32
2010,건국대학교,인문사회계열,11304,149,1.32
2010,건국대학교,자연과학계열,5188,138,2.66
2010,건국대학교(글로컬) _분교,공학계열,2432,88,3.62
2010,건국대학교(글로컬) _분교,예체능계열,2165,41,1.89
2010,건국대학교(글로컬) _분교,의학계열,10,0,0.0
2010,건국대학교(글로컬) _분교,인문사회계열,5183,130,2.51
2010,건국대학교(글로컬) _분교,자연과학계열,3686,111,3.01
2010,건동대학교,공학계열,140,20,14.29
2010,건동대학교,예체능계열,251,19,7.57
2010,건동대학교,인문사회계열,130,20,15.38
2010,건동대학교,자연과학계열,285,30,10.53
2010,건양대학교,공학계열,3477,224,6.44
2010,건양대학교,예체능계열,1379,105,7.61
2010,건양대학교,인문사회계열,6010,345,5.74
2010,건양대학교,자연과학계열,3204,168,5.24
2010,건양대학교 _제2캠퍼스,공학계열,279,1,0.36
2010,건양대학교 _제2캠퍼스,의학계열,377,0,0.0
2010,건양대학교 _제2캠퍼스,인문사회계열,155,6,3.87
2010,건양대학교 _제2캠퍼스,자연과학계열,1627,24,1.48
2010,경기대학교,공학계열,4950,162,3.27
2010,경기대학교,예체능계열,2444,84,3.44
2010,경기대학교,인문사회계열,8311,261,3.14
2010,경기대학교,자연과학계열,2569,86,3.35
2010,경기대학교 _제2캠퍼스,공학계열,93,3,3.23
2010,경기대학교 _제2캠퍼스,예체능계열,723,35,4.84
2010,경기대학교 _제2캠퍼스,인문사회계열,1191,34,2.85
2010,경남대학교,공학계열,6677,385,5.77
2010,경남대학교,예체능계열,2018,92,4.56
2010,경남대학교,인문사회계열,13296,560,4.21
2010,경남대학교,자연과학계열,3765,166,4.41
2010,경동대학교,공학계열,1029,64,6.22
2010,경동대학교,예체능계열,647,75,11.59
2010,경동대학교,인문사회계열,3210,260,8.1
2010,경동대학교,자연과학계열,1161,58,5.0
2010,경북대학교,공학계열,10723,259,2.42
2010,경북대학교,예체능계열,1177,40,3.4
