기준연도,학교명,대계열,등록금
2014,덕성여자대학교,인문사회계열,6971000
2014,덕성여자대학교,자연과학계열,8436166.667
2014,동국대학교,공학계열,10184000
2014,동국대학교,예체능계열,10025428.57
2014,동국대학교,인문사회계열,7738000
2014,동국대학교,자연과학계열,9091636.364
2014,동국대학교(WISE),공학계열,9426909.091
2014,동국대학교(WISE),예체능계열,9456000
2014,동국대학교(WISE),의학계열,10368000
2014,동국대학교(WISE),인문사회계열,7333294.118
2014,동국대학교(WISE),자연과학계열,8749818.182
2014,동덕여자대학교,공학계열,8314000
2014,동덕여자대학교,예체능계열,9359882.353
2014,동덕여자대학교,인문사회계열,6669333.333
2014,동덕여자대학교,자연과학계열,8432800
2014,동명대학교,공학계열,8288000
2014,동명대학교,예체능계열,8154000
2014,동명대학교,인문사회계열,6225263.158
2014,동명대학교,자연과학계열,7849000
2014,동서대학교,공학계열,7782450
2014,동서대학교,예체능계열,7559538.462
2014,동서대학교,인문사회계열,6133655.172
2014,동서대학교,자연과학계열,8056500
2014,동신대학교,공학계열,7651818.182
2014,동신대학교,예체능계열,7490800
2014,동신대학교,의학계열,8520000
2014,동신대학교,인문사회계열,6287200
2014,동신대학교,자연과학계열,7432766.667
2014,동아대학교,공학계열,8392411.765
2014,동아대학교,예체능계열,8029882.353
2014,동아대학교,의학계열,9734000
2014,동아대학교,인문사회계열,6506833.333
2014,동아대학교,자연과학계열,7549400
2014,동양대학교,공학계열,7897333.333
2014,동양대학교,예체능계열,8117600
2014,동양대학교,인문사회계열,6348000
2014,동양대학교,자연과학계열,8164000
2014,동의대학교,공학계열,8056000
2014,동의대학교,예체능계열,7479333.333
2014,동의대학교,의학계열,8130000
2014,동의대학교,인문사회계열,5996000
2014,동의대학교,자연과학계열,7237500
2014,루터대학교,예체능계열,6900000
2014,루터대학교,인문사회계열,6774000
2014,루터대학교,자연과학계열,6990000
2014,명지대학교,공학계열,10022000
2014,명지대학교,예체능계열,10299857.14
2014,명지대학교,인문사회계열,9094000
2014,명지대학교,자연과학계열,9120000
2014,명지대학교 _제2캠퍼스,공학계열,7704000
2014,명지대학교 _제2캠퍼스,인문사회계열,7644181.818
2014,목원대학교,공학계열,8489000
2014,목원대학교,예체능계열,8639913.043
2014,목원대학교,인문사회계열,7085809.524
2014,목원대학교,자연과학계열,7864583.333
2014,목포가톨릭대학교,인문사회계열,6123000
2014,목포가톨릭대학교,자연과학계열,7292000
2014,배재대학교,공학계열,8363294.118
2014,배재대학교,예체능계열,8356000
2014,배재대학교,인문사회계열,6899860.465
2014,배재대학교,자연과학계열,7746769.231
2014,백석대학교,공학계열,9090000
2014,백석대학교,예체능계열,9466153.846
2014,백석대학교,인문사회계열,7690000
2014,백석대학교,자연과학계열,9090000
2014,부산가톨릭대학교,공학계열,8139200
2014,부산가톨릭대학교,인문사회계열,6269257.143
2014,부산가톨릭대학교,자연과학계열,7512400
2014,부산교육대학교,인문사회계열,3202000
2014,부산대학교,공학계열,4875750
2014,부산대학교,예체능계열,4853333.333
2014,부산대학교,인문사회계열,3647897.436
2014,부산대학교,자연과학계열,4635230.769
2014,부산외국어대학교,공학계열,8014514.286
2014,부산외국어대학교,예체능계열,6833900
2014,부산외국어대학교,인문사회계열,6185746.939
2014,부산외국어대학교,자연과학계열,6673000
2014,부산장신대학교,인문사회계열,6439633.333
2014,삼육대학교,공학계열,9144500
2014,삼육대학교,예체능계열,9649000
2014,삼육대학교,인문사회계열,7742000
2014,삼육대학교,자연과학계열,8775916.667
2014,상명대학교,공학계열,8914857.143
2014,상명대학교,예체능계열,9485500
2014,상명대학교,인문사회계열,7605411.765
2014,상명대학교,자연과학계열,9004000
2014,상명대학교(천안) _분교(폐교),공학계열,9265000
2014,상명대학교(천안) _분교(폐교),예체능계열,9312000
2014,상명대학교(천안) _분교(폐교),인문사회계열,7593846.154
2014,상명대학교(천안) _분교(폐교),자연과학계열,9239500
2014,상지대학교,공학계열,8571750
2014,상지대학교,예체능계열,8307000
2014,상지대학교,의학계열,9754500
2014,상지대학교,인문사회계열,6820185.185
2014,상지대학교,자연과학계열,7972000
2014,서강대학교,공학계열,10283400
2014,서강대학교,인문사회계열,8047545.455
2014,서강대학교,자연과학계열,9405000
2014,서경대학교,공학계열,8925222.222
2014,서경대학교,예체능계열,9392812.5
2014,서경대학교,인문사회계열,7379700
2014,서경대학교,자연과학계열,8907333.333
2014,서남대학교 (폐교),공학계열,7297500
2014,서남대학교 (폐교),예체능계열,6915750
2014,서남대학교 (폐교),의학계열,9900000
2014,서남대학교 (폐교),인문사회계열,5859142.857
2014,서남대학교 (폐교),자연과학계열,8067285.714
2014,서남대학교 _제2캠퍼스(폐교),공학계열,7549833.333
2014,서남대학교 _제2캠퍼스(폐교),예체능계열,7074000
2014,서남대학교 _제2캠퍼스(폐교),인문사회계열,6010000
2014,서남대학교 _제2캠퍼스(폐교),자연과학계열,7661200
2014,서울과학기술대학교,공학계열,5549700
2014,서울과학기술대학교,예체능계열,5640800
2014,서울과학기술대학교,인문사회계열,4593616.667
2014,서울과학기술대학교,자연과학계열,5568000
2014,서울과학기술대학교(산업대) (폐교),공학계열,4856230
2014,서울과학기술대학교(산업대) (폐교),예체능계열,4919666.667
2014,서울과학기술대학교(산업대) (폐교),인문사회계열,4139000
2014,서울과학기술대학교(산업대) (폐교),자연과학계열,4853000
2014,서울교육대학교,인문사회계열,3259000
2014,서울기독대학교,예체능계열,8955900
2014,서울기독대학교,인문사회계열,7227333.333
2014,서울대학교,공학계열,6209333.333
2014,서울대학교,예체능계열,7633222.222
2014,서울대학교,의학계열,9781000
2014,서울대학교,인문사회계열,5158673.077
2014,서울대학교,자연과학계열,6346521.739
2014,서울시립대학교,공학계열,2793000
2014,서울시립대학교,예체능계열,3026750
2014,서울시립대학교,인문사회계열,2136000
2014,서울시립대학교,자연과학계열,2508200
2014,서울신학대학교,예체능계열,9106750
2014,서울신학대학교,인문사회계열,7307212.5
2014,서울여자대학교,공학계열,9031000
2014,서울여자대학교,예체능계열,10017083.33
2014,서울여자대학교,인문사회계열,7656400
2014,서울여자대학교,자연과학계열,9015428.571
2014,서울장신대학교,예체능계열,10575300
2014,서울장신대학교,인문사회계열,7667300
2014,서울한영대학교,예체능계열,8545800
2014,서울한영대학교,인문사회계열,6993950
2014,서원대학교,공학계열,8645022.222
2014,서원대학교,예체능계열,8375490
2014,서원대학교,인문사회계열,7011373.913
2014,서원대학교,자연과학계열,7798185.714
2014,선문대학교,공학계열,8756500
2014,선문대학교,예체능계열,8066000
2014,선문대학교,인문사회계열,7250645.161
2014,선문대학교,자연과학계열,8420181.818
2014,성결대학교,공학계열,8982000
2014,성결대학교,예체능계열,9627000
2014,성결대학교,인문사회계열,7292000
2014,성공회대학교,공학계열,8514000
2014,성공회대학교,인문사회계열,7653444.444
2014,성균관대학교,공학계열,9428666.667
2014,성균관대학교,예체능계열,9884000
2014,성균관대학교,의학계열,11338000
2014,성균관대학교,인문사회계열,7509571.429
2014,성균관대학교,자연과학계열,8985166.667
2014,성신여자대학교,공학계열,9034000
2014,성신여자대학교,예체능계열,10361384.62
2014,성신여자대학교,인문사회계열,7698400
2014,성신여자대학교,자연과학계열,8932222.222
2014,세명대학교,공학계열,8173666.667
2014,세명대학교,예체능계열,8192000
2014,세명대학교,의학계열,8894000
2014,세명대학교,인문사회계열,6490521.739
2014,세명대학교,자연과학계열,8121111.111
2014,세종대학교,공학계열,9125214.286
2014,세종대학교,예체능계열,9489500
2014,세종대학교,인문사회계열,6856857.143
2014,세종대학교,자연과학계열,8139142.857
2014,세한대학교,공학계열,7151200
2014,세한대학교,예체능계열,7053723.81
2014,세한대학교,인문사회계열,5602154.545
2014,세한대학교,자연과학계열,6933483.333
2014,송원대학교,공학계열,6646100
2014,송원대학교,예체능계열,6947333.333
2014,송원대학교,인문사회계열,6144257.143
2014,송원대학교,자연과학계열,7120000
2014,수원가톨릭대학교,인문사회계열,5667000
2014,수원대학교,공학계열,8607222.222
2014,수원대학교,예체능계열,8815583.333
2014,수원대학교,인문사회계열,6930764.706
2014,수원대학교,자연과학계열,7983000
2014,숙명여자대학교,공학계열,9287000
2014,숙명여자대학교,예체능계열,10576090.91
2014,숙명여자대학교,인문사회계열,7977454.545
2014,숙명여자대학교,자연과학계열,9422000
2014,순복음총회신학교,예체능계열,7700000
2014,순복음총회신학교,인문사회계열,6225000
2014,순천향대학교,공학계열,9118000
2014,순천향대학교,예체능계열,8585000
2014,순천향대학교,의학계열,10040000
2014,순천향대학교,인문사회계열,7818111.111
2014,순천향대학교,자연과학계열,8451466.667
2014,숭실대학교,공학계열,9497000
2014,숭실대학교,예체능계열,8992000
2014,숭실대학교,인문사회계열,7954000
2014,숭실대학교,자연과학계열,8776800
2014,신경주대학교,공학계열,8088200
2014,신경주대학교,예체능계열,8698222.222
2014,신경주대학교,인문사회계열,6560347.826
2014,신경주대학교,자연과학계열,7921460
2014,신라대학교,공학계열,8307544.444
2014,신라대학교,예체능계열,8009444.444
2014,신라대학교,인문사회계열,6223472.414
2014,신라대학교,자연과학계열,7718990
2014,신한대학교,공학계열,10668000
2014,신한대학교,인문사회계열,8468000
2014,신한대학교,자연과학계열,10068000
2014,신한대학교 _제2캠퍼스,공학계열,10668000
2014,신한대학교 _제2캠퍼스,예체능계열,10568000
2014,신한대학교 _제2캠퍼스,인문사회계열,8468000
2014,신한대학교 _제2캠퍼스,자연과학계열,10068000
2014,아신대학교,인문사회계열,6856000
2014,아주대학교,공학계열,9383818.182
2014,아주대학교,의학계열,11180000
2014,아주대학교,인문사회계열,7606909.091
2014,아주대학교,자연과학계열,9089333.333
2014,안양대학교,공학계열,9393000
2014,안양대학교,예체능계열,9103500
2014,안양대학교,인문사회계열,7542615.385
2014,안양대학교,자연과학계열,8636000
2014,안양대학교 _제2캠퍼스,공학계열,9393000
2014,안양대학교 _제2캠퍼스,인문사회계열,7601000
2014,연세대학교,공학계열,10279181.82
2014,연세대학교,예체능계열,10817000
2014,연세대학교,의학계열,12128000
2014,연세대학교,인문사회계열,9692517.241
2014,연세대학교,자연과학계열,10414842.11
2014,연세대학교(미래),공학계열,10329000
2014,연세대학교(미래),예체능계열,9227000
2014,연세대학교(미래),의학계열,12128000
2014,연세대학교(미래),인문사회계열,7712500
2014,연세대학교(미래),자연과학계열,8937500
2014,영남대학교,공학계열,8813000
2014,영남대학교,예체능계열,9563500
2014,영남대학교,의학계열,10714000
2014,영남대학교,인문사회계열,6545032.258
2014,영남대학교,자연과학계열,8902421.053
2014,영남신학대학교,인문사회계열,6516033.333
2014,영산대학교,공학계열,7907000
2014,영산대학교,예체능계열,7147000
2014,영산대학교,인문사회계열,5828321.429
2014,영산대학교,자연과학계열,6818600
2014,영산대학교 _제2캠퍼스,공학계열,7907000
2014,영산대학교 _제2캠퍼스,예체능계열,7907000
2014,영산대학교 _제2캠퍼스,인문사회계열,5981000
2014,영산대학교 _제2캠퍼스,자연과학계열,7679000
2014,영산선학대학교,인문사회계열,2150000
2014,예수대학교,인문사회계열,5563000
2014,예수대학교,자연과학계열,7403000
2014,예원예술대학교,예체능계열,7788075
2014,예원예술대학교,인문사회계열,6178025
2014,예원예술대학교 _제2캠퍼스,예체능계열,8214211.111
2014,용인대학교,예체능계열,8833000
2014,용인대학교,인문사회계열,7760090.909
2014,용인대학교,자연과학계열,8455000
2014,우석대학교,공학계열,8237000
2014,우석대학교,예체능계열,7913181.818
2014,우석대학교,의학계열,8316250
2014,우석대학교,인문사회계열,6241366.667
2014,우석대학교,자연과학계열,7584875
2014,우송대학교,공학계열,7893433.333
2014,우송대학교,예체능계열,8183540
2014,우송대학교,인문사회계열,7165650
2014,우송대학교,자연과학계열,8344033.333
2014,울산과학기술원,공학계열,6342000
2014,울산과학기술원,인문사회계열,5880000
2014,울산과학기술원,자연과학계열,6342000
2014,울산대학교,공학계열,8779333.333
2014,울산대학교,예체능계열,9001000
2014,울산대학교,의학계열,10952000
2014,울산대학교,인문사회계열,6211642.857
2014,울산대학교,자연과학계열,8553914.286
2014,원광대학교,공학계열,8419000
2014,원광대학교,예체능계열,8042500
2014,원광대학교,의학계열,9750000
2014,원광대학교,인문사회계열,6579612.903
2014,원광대학교,자연과학계열,8073409.091
2014,위덕대학교,공학계열,8174818.182
2014,위덕대학교,예체능계열,8656333.333
