기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율
2014,대학교,사립,기존,광주,광주여자대학교,예체능계열,195,195,657,195,100.0,3.37,98.1662,1.8337999999999965,1.9509,0.019873439126705528
2014,대학교,사립,기존,광주,광주여자대학교,인문사회계열,400,400,3041,400,100.0,7.6,97.7925,2.207499999999996,4.5276,0.046298028989953215
2014,대학교,사립,기존,광주,광주여자대학교,자연과학계열,400,400,2272,400,100.0,5.68,98.9517,1.0482999999999976,1.4367,0.014519204824171794
2014,대학교,사립,기존,광주,남부대학교,공학계열,70,70,384,73,104.29,5.49,98.428,5.862000000000009,3.7214,0.03780834721827123
2014,대학교,사립,기존,광주,남부대학교,예체능계열,115,115,335,112,97.39,2.91,98.1662,-0.7762000000000029,1.9509,0.019873439126705528
2014,대학교,사립,기존,광주,남부대학교,인문사회계열,159,159,1030,158,99.37,6.48,97.7925,1.5775000000000006,4.5276,0.046298028989953215
2014,대학교,사립,기존,광주,남부대학교,자연과학계열,445,445,2465,442,99.33,5.54,98.9517,0.37829999999999586,1.4367,0.014519204824171794
2014,대학교,사립,기존,광주,송원대학교,공학계열,170,170,675,161,94.71,3.97,98.428,-3.7180000000000035,3.7214,0.03780834721827123
2014,대학교,사립,기존,광주,송원대학교,예체능계열,115,115,299,112,97.39,2.6,98.1662,-0.7762000000000029,1.9509,0.019873439126705528
2014,대학교,사립,기존,광주,송원대학교,인문사회계열,315,315,1324,312,99.05,4.2,97.7925,1.2574999999999932,4.5276,0.046298028989953215
2014,대학교,사립,기존,광주,송원대학교,자연과학계열,200,200,1968,200,100.0,9.84,98.9517,1.0482999999999976,1.4367,0.014519204824171794
2014,대학교,국립,기존,광주,전남대학교,공학계열,839,839,3826,838,99.88,4.56,99.88,0.0,0.0,0.0
