기준년도,학교명_정규화,계열,총재적학생,총탈락자수,중도탈락률(%)
2010,고려대학교,의학계열,379.0,1.895,0.5
2010,고려대학교,인문사회계열,11543.0,98.165,0.8504288313263451
2010,고려대학교,자연과학계열,2353.0,52.044,2.2118147046323844
2010,고려대학교(세종) _분교,공학계열,2096.0,65.604,3.1299618320610687
2010,고려대학교(세종) _분교,예체능계열,1111.0,32.556999999999995,2.93042304230423
2010,고려대학교(세종) _분교,인문사회계열,3383.0,69.318,2.0490097546556307
2010,고려대학교(세종) _분교,자연과학계열,1409.0,41.967,2.9784953867991484
2010,고신대학교,공학계열,151.0,9.985999999999999,6.613245033112582
2010,고신대학교,예체능계열,310.0,18.04,5.8193548387096765
2010,고신대학교,의학계열,305.0,0.915,0.3
2010,고신대학교,인문사회계열,1165.0,31.944000000000003,2.741974248927039
2010,고신대학교,자연과학계열,547.0,30.993000000000002,5.665996343692871
2010,공주교육대학교,인문사회계열,2088.0,28.678,1.3734674329501917
2010,광신대학교,예체능계열,86.0,6.0200000000000005,7.000000000000001
2010,광신대학교,인문사회계열,123.0,12.034000000000002,9.783739837398377
2010,광운대학교,공학계열,5726.0,163.554,2.8563395040167654
2010,광운대학교,예체능계열,171.0,3.933,2.3
2010,광운대학교,인문사회계열,2843.0,96.013,3.3771720014069646
2010,광운대학교,자연과학계열,1333.0,27.941,2.096099024756189
2010,광주과학기술원,인문사회계열,99.0,0.99,1.0
2010,광주교육대학교,인문사회계열,1885.0,15.155000000000001,0.8039787798408489
2010,광주대학교,공학계열,1087.0,116.003,10.671849126034958
2010,광주대학교,예체능계열,739.0,61.91499999999999,8.378213802435724
2010,광주대학교,의학계열,16.0,0.0,0.0
2010,광주대학교,인문사회계열,3654.0,293.555,8.033798576902026
2010,광주대학교,자연과학계열,57.0,6.984999999999999,12.25438596491228
2010,광주여자대학교,공학계열,176.0,4.927999999999999,2.7999999999999994
2010,광주여자대학교,예체능계열,218.0,22.967,10.53532110091743
2010,광주여자대학교,의학계열,33.0,10.988999999999999,33.3
2010,광주여자대학교,인문사회계열,1157.0,52.169,4.508988764044944
2010,광주여자대학교,자연과학계열,112.0,11.984,10.7
2010,국립강릉원주대학교,공학계열,1766.0,92.888,5.259796149490374
2010,국립강릉원주대학교,예체능계열,425.0,27.062000000000005,6.367529411764707
