기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100",학교_정규화
2010,대구가톨릭대학교,인문ㆍ사회계열,6389,102.7,대구가톨릭대학교
2010,대구가톨릭대학교,자연과학계열,2913,104.8,대구가톨릭대학교
2010,대구가톨릭대학교,공학계열,1611,112.5,대구가톨릭대학교
2010,대구가톨릭대학교,예ㆍ체능계열,1537,98.0,대구가톨릭대학교
2010,대구교육대학교,예ㆍ체능계열,400,107.3,대구교육대학교
2010,대구교육대학교,자연과학계열,712,102.4,대구교육대학교
2010,대구교육대학교,인문ㆍ사회계열,978,103.7,대구교육대학교
2010,대구대학교,인문ㆍ사회계열,9100,109.2,대구대학교
2010,대구대학교,자연과학계열,3304,100.2,대구대학교
2010,대구대학교,공학계열,4018,99.5,대구대학교
2010,대구대학교,예ㆍ체능계열,1760,93.1,대구대학교
2010,대구예술대학교,예ㆍ체능계열,1955,60.8,대구예술대학교
2010,대구한의대학교,예ㆍ체능계열,720,87.5,대구한의대학교
2010,대구한의대학교,의학계열,468,102.1,대구한의대학교
2010,대구한의대학교,공학계열,839,85.7,대구한의대학교
2010,대구한의대학교,자연과학계열,2940,97.1,대구한의대학교
2010,대구한의대학교,인문ㆍ사회계열,2065,102.3,대구한의대학교
2010,대신대학교,인문ㆍ사회계열,510,79.8,대신대학교
2010,대신대학교,예ㆍ체능계열,150,73.3,대신대학교
2010,대전가톨릭대학교,인문ㆍ사회계열,160,59.4,대전가톨릭대학교
2010,대전대학교,예ㆍ체능계열,831,82.4,대전대학교
2010,대전대학교,인문ㆍ사회계열,4622,101.9,대전대학교
2010,대전대학교,자연과학계열,1887,97.8,대전대학교
2010,대전대학교,공학계열,2097,84.3,대전대학교
2010,대전대학교,의학계열,312,109.9,대전대학교
2010,대전신학대학교,인문ㆍ사회계열,120,80.8,대전신학대학교
2010,대진대학교,예ㆍ체능계열,1201,87.3,대진대학교
2010,대진대학교,인문ㆍ사회계열,3455,107.2,대진대학교
2010,대진대학교,자연과학계열,832,93.1,대진대학교
2010,대진대학교,공학계열,2312,93.1,대진대학교
2010,덕성여자대학교,인문ㆍ사회계열,2882,115.7,덕성여자대학교
2010,덕성여자대학교,자연과학계열,1220,105.3,덕성여자대학교
2010,덕성여자대학교,공학계열,364,96.7,덕성여자대학교
2010,덕성여자대학교,예ㆍ체능계열,694,112.0,덕성여자대학교
2010,동국대학교,인문ㆍ사회계열,5552,138.0,동국대학교
2010,동국대학교,자연과학계열,1445,101.3,동국대학교
2010,동국대학교,공학계열,3063,119.8,동국대학교
2010,동국대학교,예ㆍ체능계열,910,123.8,동국대학교
2010,동국대학교(WISE) _분교,예ㆍ체능계열,620,90.2,동국대학교(WISE) _분교
2010,동국대학교(WISE) _분교,인문ㆍ사회계열,4362,110.1,동국대학교(WISE) _분교
2010,동국대학교(WISE) _분교,자연과학계열,1538,106.8,동국대학교(WISE) _분교
2010,동국대학교(WISE) _분교,공학계열,1075,85.8,동국대학교(WISE) _분교
2010,동국대학교(WISE) _분교,의학계열,448,111.2,동국대학교(WISE) _분교
2010,동덕여자대학교,자연과학계열,1137,102.6,동덕여자대학교
2010,동덕여자대학교,공학계열,143,113.3,동덕여자대학교
2010,동덕여자대학교,예ㆍ체능계열,2560,102.1,동덕여자대학교
2010,동덕여자대학교,인문ㆍ사회계열,2948,117.3,동덕여자대학교
2010,동명대학교,예ㆍ체능계열,1722,52.8,동명대학교
2010,동명대학교,공학계열,4098,67.1,동명대학교
2010,동명대학교,자연과학계열,30,116.7,동명대학교
2010,동명대학교,인문ㆍ사회계열,3110,76.1,동명대학교
2010,동서대학교,예ㆍ체능계열,1880,97.7,동서대학교
2010,동서대학교,공학계열,3580,88.6,동서대학교
2010,동서대학교,자연과학계열,280,98.9,동서대학교
2010,동서대학교,인문ㆍ사회계열,4860,114.8,동서대학교
