2024년_ [중도탈락 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,"재적학생
(A)",사유별 중도탈락 학생,,,,,,,,,"중도탈락학생비율(%)
(B/A) × 100"
,,,,,,,,,,,,계(B),미등록,미복학,자퇴,학사경고,학생활동,유급제적,재학연한초과,기타,
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,AI・소프트웨어학부(인공지능전공),주간,일반과정,기존,497,19,0,2,17,0,0,0,0,0,3.8
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,소프트웨어학과,주간,일반과정,폐과,57,1,0,1,0,0,0,0,0,0,1.8
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,스마트시티융합학과,주간,일반과정,기존,96,5,0,1,4,0,0,0,0,0,5.2
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,의공학과,주간,일반과정,기존,149,10,0,0,10,0,0,0,0,0,6.7
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,전기공학과,주간,일반과정,기존,582,14,0,0,14,0,0,0,0,0,2.4
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,전자공학과,주간,일반과정,폐과,556,9,1,3,5,0,0,0,0,0,1.6
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,전자공학부(시스템반도체전공),주간,일반과정,변경,50,3,0,0,3,0,0,0,0,0,6
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,전자공학부(전자공학전공),주간,일반과정,기존,271,23,0,3,20,0,0,0,0,0,8.5
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,전자공학부(차세대반도체전공),주간,일반과정,폐과,48,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,컴퓨터공학과,주간,일반과정,폐과,881,26,3,11,12,0,0,0,0,0,3
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,컴퓨터공학부(스마트보안전공),주간,일반과정,기존,102,3,0,0,3,0,0,0,0,0,2.9
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,컴퓨터공학부(컴퓨터공학전공),주간,일반과정,기존,371,29,2,2,25,0,0,0,0,0,7.8
2023,대학교,사립,경기,기존,가천대학교,미래산업대학,게임・영상학과,주간,계약학과,기존,171,5,1,0,4,0,0,0,0,0,2.9
2023,대학교,사립,경기,기존,가천대학교,미래산업대학,디스플레이학과,주간,계약학과,폐과,28,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,미래산업대학,미래자동차학과,주간,계약학과,기존,114,3,2,0,1,0,0,0,0,0,2.6
2023,대학교,사립,경기,기존,가천대학교,미래산업대학,바이오의료기기학과,주간,계약학과,변경,40,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,미래산업대학,반도체・디스플레이학과,주간,계약학과,폐과,50,2,0,0,2,0,0,0,0,0,4
2023,대학교,사립,경기,기존,가천대학교,미래산업대학,반도체공학부(반도체・디스플레이전공),주간,계약학과,변경,49,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,미래산업대학,반도체공학부(반도체설계전공),주간,계약학과,신설,47,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,미래산업대학,첨단의료기기학과,주간,계약학과,폐과,77,0,0,0,0,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,경영대학,금융・빅데이터학부,주간,일반과정,신설,0,1,0,0,1,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,사회과학대학,패션산업학과,주간,일반과정,변경,0,2,0,0,2,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,운동재활학과,주간,일반과정,변경,0,1,0,0,1,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,의과학대학,치위생학과,주간,일반과정,기존,0,2,0,0,2,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,가천리버럴아츠칼리지,국제학부,주간,일반과정,신설,0,1,0,0,1,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,IT융합대학,게임・영상학과,주간,계약학과,변경,0,1,0,0,1,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,IT융합대학,스마트시티학과,주간,일반과정,변경,0,2,0,0,2,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,반도체대학,반도체・전자공학부(반도체공학전공),주간,일반과정,변경,0,1,0,0,1,0,0,0,0,0,0
2024,대학교,사립,경기,기존,가천대학교,반도체대학,반도체・전자공학부(전자공학전공),주간,일반과정,변경,0,3,0,0,3,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,경영대학,경영정보학과,주간,일반과정,폐과,5,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,경영대학,경영학과,주간,일반과정,폐과,12,3,0,2,1,0,0,0,0,0,25
2023,대학교,사립,강원,기존,가톨릭관동대학교,경영대학,경제금융학과,주간,일반과정,폐과,7,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,경영대학,광고홍보학과,주간,일반과정,폐과,5,1,0,1,0,0,0,0,0,0,20
2023,대학교,사립,강원,기존,가톨릭관동대학교,경영대학,무역학과,주간,일반과정,폐과,4,1,0,1,0,0,0,0,0,0,25
2023,대학교,사립,강원,기존,가톨릭관동대학교,경찰법정대학,경찰행정학전공,주간,일반과정,폐과,48,17,0,16,1,0,0,0,0,0,35.4
2023,대학교,사립,강원,기존,가톨릭관동대학교,경찰법정대학,범죄수사학전공,주간,일반과정,폐과,9,7,0,7,0,0,0,0,0,0,77.8
2023,대학교,사립,강원,기존,가톨릭관동대학교,경찰법정대학,법학과,주간,일반과정,폐과,14,8,0,6,2,0,0,0,0,0,57.1
2023,대학교,사립,강원,기존,가톨릭관동대학교,경찰법정대학,사회복지학과,주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,경찰법정대학,행정학과,주간,일반과정,폐과,12,4,0,4,0,0,0,0,0,0,33.3
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,건축공학과,주간,일반과정,폐과,2,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,건축공학전공,주간,일반과정,폐과,91,16,0,11,5,0,0,0,0,0,17.6
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,건축학과(5년제),주간,일반과정,폐과,0,1,0,1,0,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,건축학부,주간,일반과정,폐과,7,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,건축학전공,주간,일반과정,폐과,282,26,0,11,15,0,0,0,0,0,9.2
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,기술창업학과,주간,일반과정,폐과,12,7,0,1,6,0,0,0,0,0,58.3
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,바이오융합공학과,주간,일반과정,폐과,2,1,0,1,0,0,0,0,0,0,50
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,보건환경학과,주간,일반과정,폐과,6,2,0,2,0,0,0,0,0,0,33.3
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,소프트웨어학과,주간,일반과정,폐과,181,12,0,4,8,0,0,0,0,0,6.6
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,에너지플랜트공학과,주간,일반과정,폐과,7,4,0,3,1,0,0,0,0,0,57.1
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,의료공학과,주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,전자공학과,주간,일반과정,폐과,156,18,0,7,11,0,0,0,0,0,11.5
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,전자공학전공,주간,일반과정,폐과,2,1,0,1,0,0,0,0,0,0,50
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,정보통신공학과,주간,일반과정,폐과,3,1,0,1,0,0,0,0,0,0,33.3
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,창업지식재산학과,주간,일반과정,폐과,38,5,0,3,2,0,0,0,0,0,13.2
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,컴퓨터공학과,주간,일반과정,폐과,3,1,0,1,0,0,0,0,0,0,33.3
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,컴퓨터학과,주간,일반과정,폐과,3,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,강원,기존,가톨릭관동대학교,공과대학,토목공학과,주간,일반과정,폐과,167,22,0,9,13,0,0,0,0,0,13.2
2023,대학교,사립,강원,기존,가톨릭관동대학교,관광스포츠대학,경기지도학과,주간,일반과정,폐과,2,2,0,1,1,0,0,0,0,0,100
