기준연도,학교명,중도탈락학생(신입생)비율(%),정원내 신입생 충원율(%),기숙사 수용률,1인당장학금,소규모 강좌 비율,평균 강좌 규모 점수,전임교원 1인당 학생수(정원기준),취업률,진학률,가중 평균 재학생 충원율(%)
2021,광주여자대학교,6.8,96.2,14.5,4339391.8,0.5,20.0,27.3,66.4,1.1,92.9
2021,국립강릉원주대학교,7.1,90.7,26.4,2894954.6,0.4,21.8,23.2,55.9,5.2,87.0
2021,국립강릉원주대학교 _제2캠퍼스,4.5,98.4,29.3,3004494.8,0.2,26.2,24.6,58.8,1.2,94.9
2021,국립경국대학교,7.4,72.9,31.2,3178030.0,0.5,19.4,25.7,54.7,5.7,82.8
2021,국립공주대학교,7.4,99.7,31.8,2642428.8,0.5,20.9,26.9,59.0,6.3,94.1
2021,국립군산대학교,8.1,86.5,21.6,2710526.1,0.4,21.8,24.9,55.5,5.6,87.2
2021,국립금오공과대학교,7.6,99.6,47.1,2809236.5,0.3,23.2,26.4,61.5,8.7,95.0
2021,국립목포대학교,7.0,87.1,25.8,3285658.5,0.5,20.4,26.1,57.9,3.8,89.0
2021,국립목포해양대학교,6.5,95.2,93.9,2257108.2,0.2,25.6,24.3,85.4,0.8,87.1
2021,국립부경대학교,7.8,99.8,23.8,2641364.2,0.3,25.0,28.4,50.6,7.2,98.3
2021,국립순천대학교,4.6,89.8,30.4,2807408.6,0.5,19.5,25.0,58.0,4.7,90.2
2021,국립창원대학교,6.6,98.4,25.1,2725561.6,0.4,21.6,28.6,57.0,6.0,96.2
2021,국립한국교통대학교,7.0,99.4,26.2,2940267.4,0.4,23.0,25.5,62.8,5.2,92.6
2021,국립한국해양대학교,8.1,99.9,40.1,2477154.9,0.3,24.8,24.5,73.1,6.3,96.2
2021,국민대학교,8.3,99.9,11.5,3341292.2,0.4,22.0,23.6,68.9,7.5,100.2
2021,극동대학교,3.4,68.5,14.5,3856464.2,0.4,21.8,28.3,69.1,1.0,80.0
2021,김천대학교,19.7,97.3,49.5,4206784.0,0.4,21.8,24.4,71.4,0.4,75.3
2021,나사렛대학교,4.5,96.2,19.4,4318989.1,0.4,22.3,28.2,64.8,1.9,85.8
2021,남부대학교,13.7,98.8,29.2,3643164.5,0.3,24.4,26.6,71.5,1.4,91.6
2021,단국대학교,7.6,99.6,19.4,3247170.2,0.5,19.5,27.0,62.8,5.8,102.4
2021,대구가톨릭대학교,5.5,83.8,25.3,3804537.0,0.6,18.8,23.6,61.0,5.7,89.6
2021,대구교육대학교,8.6,99.7,28.4,2001647.5,0.1,27.8,33.3,66.6,0.7,94.2
2021,대구대학교,5.1,80.8,24.7,3984242.7,0.5,21.0,31.3,58.2,4.4,85.2
2021,대구한의대학교,22.0,96.2,18.9,3848677.1,0.5,19.8,27.6,66.0,2.5,88.3
