기준년도,중도탈락율,기숙사 수용률,전임교원 1인당 학생수(정원기준),전임교원 1인당 학생수(재학생기준),졸업자 수,진학률,정원내 신입생 충원율(%),기숙사 경쟁률,가중 평균 재학생 충원율(%),총 강좌 수,소규모 강좌 비율,평균 강좌 규모 점수,1인당장학금,취업률,학교명
2010,3.1,16.5,24.8,26.6,3168.0,11.2,100.0,7.2,111.0,2605,0.2,36.1,993700.0,48.8,충북대학교 
2010,6.8,47.3,37.4,35.1,92.0,29.3,100.0,2.7,99.1,177,0.6,21.5,973900.0,33.3,칼빈대학교 
2010,7.1,20.2,39.3,38.0,768.0,3.0,99.2,12.4,99.8,710,0.2,38.8,1096200.0,43.3,평택대학교 
2010,0.7,109.8,15.6,16.2,327.0,70.6,99.7,6.0,113.3,297,0.4,25.9,5302600.0,67.0,포항공과대학교 
2010,2.1,66.2,40.9,42.2,512.0,0.6,100.0,7.6,105.4,847,0.5,23.6,1256900.0,40.3,한국교원대학교 
2010,3.6,73.9,28.8,30.4,662.0,10.7,100.0,6.1,106.4,879,0.3,32.2,1307200.0,81.1,한국기술교육대학교 
2010,3.9,14.0,37.7,40.4,212.0,14.6,103.3,5.0,110.4,290,0.4,26.6,1293900.0,54.9,한국성서대학교 
2010,2.2,8.4,32.4,35.0,1614.0,8.9,99.7,14.4,126.9,171,0.0,157.1,1322100.0,56.9,한국외국어대학교 
2010,1.8,27.9,31.4,31.3,515.0,8.2,100.0,3.8,101.7,541,0.1,36.6,1639400.0,52.8,한국체육대학교 
2010,3.5,53.3,60.5,56.2,315.0,13.0,100.0,1.9,98.8,434,0.5,32.7,1121900.0,31.8,한국침례신학대학교 
2010,2.5,10.0,31.4,35.8,915.0,12.2,99.3,10.7,122.8,677,0.2,44.6,1982400.0,65.1,한국항공대학교 
2010,4.2,11.8,41.2,39.4,2323.0,7.9,99.0,4.9,98.6,2454,0.2,36.8,938000.0,44.2,한남대학교 
2010,1.9,69.0,32.0,36.8,627.0,20.1,99.7,6.6,121.3,612,0.2,35.9,1831900.0,57.7,한동대학교 
2010,7.1,18.8,43.4,36.2,429.0,3.3,99.9,4.4,83.6,731,0.3,29.9,941900.0,59.6,한라대학교 
2010,3.2,20.8,11.1,11.8,1487.0,9.1,100.1,5.6,109.9,1516,0.2,37.2,1606800.0,57.1,한림대학교 
2010,6.2,15.4,33.2,33.6,1496.0,3.5,100.1,11.0,101.7,1524,0.3,34.7,1351500.0,53.5,한서대학교 
2010,4.9,2.0,36.6,39.1,1392.0,4.0,98.5,15.9,106.2,1391,0.2,36.8,1210400.0,47.6,한성대학교 
2010,3.1,14.1,36.4,39.6,493.0,7.1,98.7,9.2,116.5,807,0.4,30.2,1246800.0,51.5,한세대학교 
2010,5.6,17.8,37.8,38.8,1010.0,9.6,99.9,16.1,104.2,1030,0.3,40.9,921300.0,41.7,한신대학교 
2010,2.2,8.3,26.2,29.0,3564.0,16.2,99.8,23.3,130.8,3239,0.4,37.2,1784600.0,60.8,한양대학교 
2010,2.3,29.5,22.1,25.9,1968.0,15.4,99.6,9.9,117.6,1684,0.2,39.4,1395100.0,52.6,한양대학교(ERICA) _분교
2010,1.0,16.2,41.8,38.3,312.0,13.1,90.3,1.5,91.4,341,0.5,25.4,2297000.0,33.3,한일장신대학교 
2010,6.9,8.4,37.3,34.8,906.0,8.2,100.8,16.8,100.7,1130,0.4,30.0,1012500.0,42.0,협성대학교 
2010,8.3,27.1,35.7,33.7,1443.0,3.4,100.0,3.4,93.6,1299,0.3,34.5,1626700.0,49.8,호남대학교 
2010,5.1,33.3,50.8,48.1,173.0,28.3,95.9,1.4,93.5,186,0.6,24.1,1210900.0,16.1,호남신학대학교 
2010,6.8,14.9,35.1,33.6,2350.0,6.9,99.8,7.1,98.7,3244,0.3,33.9,1069200.0,51.1,호서대학교 
2010,7.7,43.6,42.4,37.0,1482.0,2.5,91.6,8.7,90.0,1944,0.6,20.8,1660100.0,58.5,호원대학교 
2010,2.6,5.0,30.3,32.7,2250.0,10.3,99.1,10.6,115.5,2412,0.4,35.3,2056800.0,54.4,홍익대학교 
2011,3.2,4.1,34.5,35.5,2441.0,5.8,101.0,23.5,106.6,6555,0.3,34.8,1527200.0,50.6,가천대학교 
2011,4.8,32.1,25.8,23.5,1591.0,3.2,99.9,5.3,93.1,4511,0.4,35.8,1279700.0,48.4,가톨릭관동대학교 
2011,2.5,86.0,30.0,28.8,113.0,0.0,100.0,4.5,100.8,294,0.4,28.0,3416900.0,65.2,가톨릭꽃동네대학교 
2011,2.9,13.7,36.8,41.0,1498.0,7.9,99.9,24.4,115.2,2582,0.3,36.6,1415400.0,50.4,가톨릭대학교 
2011,5.6,25.3,3.5,3.0,190.0,0.5,100.0,16.0,124.7,1075,0.1,31.4,1215100.0,59.9,가톨릭대학교 _제2캠퍼스
2011,2.4,134.4,16.4,13.9,62.0,48.4,67.5,1.1,65.6,99,0.4,38.5,5034800.0,0.0,가톨릭대학교 _제3캠퍼스
2011,1.9,18.7,52.1,55.0,194.0,39.7,92.6,1.8,113.3,246,0.2,46.4,1397200.0,0.0,감리교신학대학교 
2011,5.6,12.1,34.3,38.6,1609.0,2.2,100.0,17.0,115.5,4434,0.5,28.9,1168800.0,52.0,강남대학교 
2011,8.5,6.4,37.3,37.2,259.0,4.6,98.8,6.0,117.6,826,0.4,25.4,1314000.0,44.2,강서대학교 
2011,3.3,25.7,24.6,25.1,3187.0,11.3,100.0,8.1,110.1,6626,0.4,30.2,1085200.0,51.3,강원대학교 
2011,5.0,40.3,35.0,31.4,1043.0,2.8,98.7,4.8,89.6,2748,0.2,30.4,2020500.0,52.4,강원대학교 _제2캠퍼스
2011,2.2,19.2,31.5,37.3,3007.0,10.6,99.5,22.9,134.4,5359,0.3,37.2,1590000.0,60.7,건국대학교 
2011,2.9,28.4,18.5,20.2,1624.0,5.7,99.6,10.6,113.1,2918,0.3,38.7,1244900.0,49.7,건국대학교(글로컬) _분교
2011,5.4,31.2,37.2,37.2,1531.0,3.9,99.4,6.2,100.1,2662,0.3,33.7,1439600.0,70.1,건양대학교 
2011,1.2,19.1,11.2,12.7,370.0,2.2,100.0,10.5,115.3,776,0.2,39.0,1379100.0,88.3,건양대학교 _제2캠퍼스
2011,3.5,3.5,36.1,39.4,2570.0,4.5,99.7,16.6,115.2,3874,0.2,39.6,1234400.0,50.3,경기대학교 
2011,5.7,9.0,43.5,42.9,2991.0,3.3,100.0,4.8,100.9,4373,0.2,42.4,1371100.0,47.5,경남대학교 
2011,1.9,18.5,24.3,27.9,4360.0,12.1,99.3,8.0,127.0,6789,0.3,38.0,1326900.0,59.0,경북대학교 
2011,2.8,24.0,22.1,23.4,3147.0,7.8,100.0,6.8,110.9,4952,0.3,40.8,1211200.0,55.1,경상국립대학교 
2011,4.7,5.6,41.1,42.4,2859.0,4.7,100.3,8.6,106.9,5462,0.3,37.5,1540300.0,47.4,경성대학교 
