기준연도,학교명,대계열,재학생,실모집인원,재학생충원율
2014,고려대학교(세종) _분교,자연과학계열,1075,926,116.1
2014,고려대학교(세종) _분교,인문사회계열,3729,3150,118.4
2014,고신대학교,의학계열,311,304,102.3
2014,고신대학교,자연과학계열,1134,1122,101.1
2014,고신대학교,예체능계열,394,429,91.8
2014,고신대학교,인문사회계열,2251,2147,104.8
2014,공주교육대학교,인문사회계열,764,696,109.8
2014,공주교육대학교,자연과학계열,507,454,111.7
2014,공주교육대학교,예체능계열,340,312,109
2014,광신대학교,예체능계열,108,120,90
2014,광신대학교,인문사회계열,361,392,92.1
2014,광운대학교,예체능계열,170,160,106.3
2014,광운대학교,공학계열,4751,3657,129.9
2014,광운대학교,자연과학계열,721,600,120.2
2014,광운대학교,인문사회계열,3623,2638,137.3
2014,광주가톨릭대학교,인문사회계열,85,160,53.1
2014,광주과학기술원,자연과학계열,417,150,278
2014,광주과학기술원,인문사회계열,0,280,0
2014,광주과학기술원,공학계열,33,50,66
2014,광주교육대학교,자연과학계열,487,438,111.2
2014,광주교육대학교,인문사회계열,642,588,109.2
2014,광주교육대학교,예체능계열,356,321,110.9
2014,광주대학교,자연과학계열,998,1000,99.8
2014,광주대학교,공학계열,1050,1148,91.5
2014,광주대학교,인문사회계열,4354,3911,111.3
2014,광주대학교,예체능계열,1228,1338,91.8
2014,광주여자대학교,인문사회계열,1730,1641,105.4
2014,광주여자대학교,예체능계열,198,225,88
2014,광주여자대학교,자연과학계열,2143,2084,102.8
2014,광주여자대학교,공학계열,52,75,69.3
2014,국립강릉원주대학교,공학계열,1052,1016,103.5
2014,국립강릉원주대학교,인문사회계열,2527,2324,108.7
2014,국립강릉원주대학교,예체능계열,478,538,88.8
2014,국립강릉원주대학교,의학계열,155,160,96.9
2014,국립강릉원주대학교,자연과학계열,1999,2060,97
2014,국립강릉원주대학교 _제2캠퍼스,자연과학계열,304,300,101.3
2014,국립강릉원주대학교 _제2캠퍼스,인문사회계열,376,436,86.2
2014,국립강릉원주대학교 _제2캠퍼스,예체능계열,228,246,92.7
2014,국립강릉원주대학교 _제2캠퍼스,공학계열,1191,1148,103.7
2014,국립경국대학교,예체능계열,427,444,96.2
2014,국립경국대학교,공학계열,2090,1886,110.8
2014,국립경국대학교,인문사회계열,2242,2080,107.8
2014,국립경국대학교,자연과학계열,1994,1942,102.7
2014,국립공주대학교,자연과학계열,4156,3770,110.2
2014,국립공주대학교,공학계열,5092,4123,123.5
2014,국립공주대학교,예체능계열,1092,914,119.5
2014,국립공주대학교,인문사회계열,4079,3365,121.2
2014,국립군산대학교,예체능계열,596,610,97.7
2014,국립군산대학교,인문사회계열,2361,2067,114.2
2014,국립군산대학교,자연과학계열,1924,1889,101.9
2014,국립군산대학교,공학계열,3299,3146,104.9
2014,국립금오공과대학교,공학계열,6107,4875,125.3
2014,국립금오공과대학교,자연과학계열,349,320,109.1
2014,국립금오공과대학교,인문사회계열,360,199,180.9
2014,국립목포대학교,공학계열,2692,2286,117.8
2014,국립목포대학교,인문사회계열,3322,2788,119.2
2014,국립목포대학교,예체능계열,448,432,103.7
2014,국립목포대학교,자연과학계열,1709,1664,102.7
2014,국립목포해양대학교,공학계열,2504,2477,101.1
2014,국립부경대학교,예체능계열,552,498,110.8
2014,국립부경대학교,인문사회계열,5390,3955,136.3
2014,국립부경대학교,자연과학계열,2663,2421,110
2014,국립부경대학교,공학계열,8878,7253,122.4
2014,국립순천대학교,인문사회계열,2733,2223,122.9
2014,국립순천대학교,예체능계열,859,788,109
2014,국립순천대학교,공학계열,2076,1937,107.2
2014,국립순천대학교,자연과학계열,2219,2333,95.1
2014,국립창원대학교,공학계열,3117,2456,126.9
2014,국립창원대학교,인문사회계열,3991,3186,125.3
2014,국립창원대학교,예체능계열,699,728,96
2014,국립창원대학교,자연과학계열,1272,1202,105.8
