기준연도,학교명,대계열,재학생,실모집인원,재학생충원율
2021,한경국립대학교,예체능계열,358,284,126.1
2021,한국공학대학교,인문사회계열,624,556,112.2
2021,한국공학대학교,공학계열,5779,4667,123.8
2021,한국공학대학교,예체능계열,41,297,13.8
2021,한국과학기술원,인문사회계열,55,120,45.8
2021,한국과학기술원,자연과학계열,774,1316,58.8
2021,한국과학기술원,공학계열,2598,2444,106.3
2021,한국교원대학교,인문사회계열,1336,1224,109.2
2021,한국교원대학교,자연과학계열,569,569,100
2021,한국교원대학교,공학계열,156,157,99.4
2021,한국교원대학교,예체능계열,237,234,101.3
2021,한국기술교육대학교,인문사회계열,558,464,120.3
2021,한국기술교육대학교,공학계열,3093,2880,107.4
2021,한국방송통신대학교,인문사회계열,63159,168150,37.6
2021,한국방송통신대학교,자연과학계열,27009,46150,58.5
2021,한국방송통신대학교,공학계열,682,1200,56.8
2021,한국방송통신대학교,예체능계열,750,1500,50
2021,한국성서대학교,인문사회계열,582,572,101.7
2021,한국성서대학교,자연과학계열,215,180,119.4
2021,한국성서대학교,공학계열,132,140,94.3
2021,한국예술종합학교,예체능계열,2480,2252,110.1
2021,한국외국어대학교,인문사회계열,13251,11340,116.9
2021,한국외국어대학교,자연과학계열,986,1032,95.5
2021,한국외국어대학교,공학계열,1092,1136,96.1
2021,한국전통문화대학교,인문사회계열,194,180,107.8
2021,한국전통문화대학교,자연과학계열,86,80,107.5
2021,한국전통문화대학교,공학계열,148,140,105.7
2021,한국전통문화대학교,예체능계열,162,160,101.3
2021,한국체육대학교,예체능계열,2323,2170,107.1
2021,한국침례신학대학교,인문사회계열,865,1170,73.9
2021,한국침례신학대학교,예체능계열,134,255,52.5
2021,한국항공대학교,인문사회계열,400,428,93.5
2021,한국항공대학교,자연과학계열,841,752,111.8
2021,한국항공대학교,공학계열,2281,2178,104.7
2021,한남대학교,인문사회계열,5595,5760,97.1
2021,한남대학교,자연과학계열,1133,1236,91.7
2021,한남대학교,공학계열,2469,2829,87.3
2021,한남대학교,예체능계열,893,948,94.2
2021,한동대학교,인문사회계열,2062,1274,161.9
2021,한동대학교,자연과학계열,212,227,93.4
2021,한동대학교,공학계열,1378,1415,97.4
2021,한라대학교,인문사회계열,1099,1305,84.2
2021,한라대학교,공학계열,1602,1918,83.5
2021,한라대학교,예체능계열,239,338,70.7
2021,한림대학교,인문사회계열,3915,3662,106.9
2021,한림대학교,자연과학계열,1848,1951,94.7
2021,한림대학교,공학계열,969,936,103.5
2021,한림대학교,예체능계열,234,203,115.3
2021,한림대학교,의학계열,326,304,107.2
2021,한서대학교,인문사회계열,1699,1564,108.6
2021,한서대학교,자연과학계열,1694,1724,98.3
2021,한서대학교,공학계열,1767,1753,100.8
2021,한서대학교,예체능계열,1135,1275,89
2021,한성대학교,인문사회계열,2778,3034,91.6
2021,한성대학교,공학계열,1974,1696,116.4
2021,한성대학교,예체능계열,1492,1102,135.4
2021,한세대학교,인문사회계열,1241,1187,104.5
2021,한세대학교,자연과학계열,173,153,113.1
2021,한세대학교,공학계열,192,189,101.6
2021,한세대학교,예체능계열,746,735,101.5
2021,한신대학교,인문사회계열,3674,3322,110.6
2021,한신대학교,자연과학계열,304,328,92.7
2021,한신대학교,공학계열,849,897,94.6
2021,한신대학교,예체능계열,125,137,91.2
2021,한양대학교,인문사회계열,5892,3975,148.2
2021,한양대학교,자연과학계열,1395,1258,110.9
2021,한양대학교,공학계열,5060,4480,112.9
2021,한양대학교,예체능계열,1786,1413,126.4
2021,한양대학교,의학계열,432,440,98.2
2021,한양대학교(ERICA) _분교,인문사회계열,2958,2272,130.2
