기준연도,학교명,재학생,1인당장학금
2012,서울한영대학교,728,1824400.0
2012,서원대학교,6362,2008200.0
2012,선문대학교,9365,2262400.0
2012,성결대학교,5332,1845800.0
2012,성공회대학교,2246,1741300.0
2012,성균관대학교,18694,2817600.0
2012,성신여자대학교,10048,2666500.0
2012,세명대학교,7929,2367600.0
2012,세종대학교,10765,2531400.0
2012,세한대학교,3943,2334600.0
2012,송원대학교,734,3290200.0
2012,수원가톨릭대학교,187,6458700.0
2012,수원대학교,11047,1971000.0
2012,숙명여자대학교,10550,2620900.0
2012,순복음총회신학교,203,1468000.0
2012,순천향대학교,11120,2159800.0
2012,숭실대학교,13915,2165300.0
2012,신경주대학교,3474,1847900.0
2012,신라대학교,9622,2113100.0
2012,아신대학교,706,1867300.0
2012,아주대학교,9759,2021400.0
2012,안양대학교,4612,2912100.0
2012,안양대학교 _제2캠퍼스,486,2467500.0
2012,연세대학교,18683,2852000.0
2012,연세대학교(미래) _분교,7803,2175900.0
2012,영남대학교,23083,1798000.0
2012,영남신학대학교,533,2192400.0
2012,영산대학교,2869,2007800.0
2012,영산대학교 _제2캠퍼스,3295,1640200.0
2012,영산대학교(산업대),171,1048600.0
2012,영산대학교(산업대) _제2캠퍼스,160,969600.0
2012,영산선학대학교,39,3058700.0
2012,예수대학교,594,2510700.0
2012,예원예술대학교,960,2022300.0
2012,예원예술대학교 _제2캠퍼스,0,0.0
2012,용인대학교,6097,1981300.0
2012,우석대학교,7639,1971900.0
2012,우송대학교,7979,2525300.0
2012,우송대학교(산업대),317,1190500.0
2012,울산과학기술원,2175,6185100.0
2012,울산대학교,13487,1830600.0
2012,원광대학교,16447,2569400.0
2012,위덕대학교,2823,2441800.0
2012,유원대학교,3096,1936500.0
2012,을지대학교,840,1955400.0
2012,을지대학교 _제2캠퍼스,4513,2271000.0
2012,이화여자대학교,15271,2359300.0
2012,인제대학교,9270,2047300.0
2012,인제대학교 _제2캠퍼스,891,1502700.0
2012,인천가톨릭대학교,110,4175500.0
2012,인천가톨릭대학교 _제2캠퍼스,622,2141300.0
2012,인천대학교,13681,1789900.0
2012,인하대학교,18299,1840100.0
2012,장로회신학대학교,655,2379000.0
2012,전남대학교,16865,1764500.0
