기준년도,학교,전임교원수,1인당 학생수(정원기준),1인당 학생수(재학생기준)
2012,강원대학교 _제2캠퍼스,204.0,35.3,32.6
2012,건국대학교 ,619.0,30.5,36.8
2012,건국대학교(글로컬) _분교,444.0,18.1,20.1
2012,건양대학교 ,187.0,35.9,35.9
2012,건양대학교 _제2캠퍼스,169.0,11.5,13.2
2012,경기대학교 ,440.0,32.5,35.2
2012,경기대학교 _제2캠퍼스,52.0,41.8,47.7
2012,경남과학기술대학교 ,171.0,34.6,33.4
2012,경남대학교 ,444.0,35.2,34.9
2012,경동대학교 ,105.0,33.8,28.1
2012,경북대학교 ,1121.0,23.0,26.5
2012,경상국립대학교 ,804.0,21.8,23.2
2012,경성대학교 ,437.0,32.6,33.2
2012,경운대학교 ,189.0,31.4,30.2
2012,경인교육대학교 ,131.0,41.5,24.5
2012,경일대학교 ,238.0,30.0,25.8
2012,경희대학교 ,1418.0,21.4,25.3
2012,계명대학교 ,800.0,29.8,33.3
2012,고려대학교 ,1372.0,21.8,25.1
2012,고려대학교(세종) _분교,245.0,30.6,34.0
2012,고신대학교 ,295.0,19.3,19.5
2012,공주교육대학교 ,88.0,28.8,26.2
2012,광신대학교 ,45.0,29.5,26.1
2012,광운대학교 ,286.0,32.6,38.2
2012,광주가톨릭대학교 ,17.0,13.2,7.1
2012,광주과학기술원 ,126.0,16.8,13.7
2012,광주교육대학교 ,75.0,36.4,32.0
2012,광주대학교 ,249.0,31.1,29.5
2012,광주여자대학교 ,134.0,32.6,33.8
2012,국립강릉원주대학교 ,286.0,25.2,24.5
2012,국립강릉원주대학교 _제2캠퍼스,94.0,25.5,23.9
2012,국립경국대학교 ,272.0,28.3,27.2
2012,국립공주대학교 ,540.0,30.3,32.7
2012,국립군산대학교 ,325.0,28.5,26.8
2012,국립금오공과대학교 ,203.0,32.5,36.8
2012,국립목포대학교 ,313.0,29.4,30.4
2012,국립목포해양대학교 ,101.0,26.4,26.5
2012,국립부경대학교 ,581.0,31.4,35.7
2012,국립순천대학교 ,314.0,29.1,28.4
2012,국립창원대학교 ,323.0,32.2,33.7
2012,국립한국교통대학교 ,308.0,29.6,30.7
2012,국립한국해양대학교 ,253.0,26.4,30.4
2012,국립한밭대학교 ,249.0,34.8,37.1
2012,국민대학교 ,461.0,36.6,41.9
2012,극동대학교 ,137.0,35.2,33.5
2012,금강대학교 ,29.0,18.6,15.0
2012,김천대학교 ,123.0,25.1,19.1
2012,나사렛대학교 ,169.0,34.7,36.0
2012,남부대학교 ,120.0,31.8,30.5
2012,남서울대학교 ,312.0,34.5,34.5
2012,단국대학교 ,441.0,33.5,36.5
2012,대구가톨릭대학교 ,546.0,28.0,28.4
2012,대구경북과학기술원 ,23.0,15.7,8.3
2012,대구교육대학교 ,91.0,35.8,31.7
2012,대구대학교 ,561.0,37.8,39.3
2012,대구예술대학교 ,58.0,33.4,22.8
2012,대구한의대학교 ,228.0,32.8,30.9
2012,대신대학교 ,29.0,31.9,25.9
2012,대전가톨릭대학교 ,14.0,21.1,15.2
2012,대전대학교 ,350.0,33.0,33.2
