기준년도,학교명,졸업자 수,진학률
2022,이화여자대학교,3935,13.0
2022,인제대학교,2107,4.9
2022,인천가톨릭대학교,22,63.6
2022,인천가톨릭대학교 _제2캠퍼스,149,2.0
2022,인천대학교,3039,6.3
2022,인하대학교,4164,9.7
2022,장로회신학대학교,178,28.7
2022,전남대학교,3895,8.3
2022,전남대학교 _제2캠퍼스,499,6.6
2022,전북대학교,4231,8.6
2022,전주교육대학교,308,0.0
2022,전주대학교,2449,2.7
2022,제주국제대학교,258,1.2
2022,제주대학교,2102,5.1
2022,조선대학교,4489,4.4
2022,중부대학교,1665,1.4
2022,중앙대학교,4879,8.2
2022,중앙대학교 _제2캠퍼스,1147,9.6
2022,중앙승가대학교,34,38.2
2022,중원대학교,730,2.2
2022,진주교육대학교,340,0.0
2022,차의과학대학교,552,13.2
2022,창신대학교,464,1.9
2022,청운대학교,1410,1.0
2022,청주교육대학교,298,0.7
2022,청주대학교,2497,3.0
2022,초당대학교,688,0.7
2022,총신대학교,452,17.7
2022,추계예술대학교,298,9.4
2022,춘천교육대학교,316,0.0
2022,충남대학교,3872,10.2
2022,충북대학교,3146,8.7
2022,칼빈대학교,146,8.2
2022,평택대학교,767,1.6
2022,포항공과대학교,317,63.7
2022,한경국립대학교,1128,5.0
2022,한국공학대학교,1655,5.9
2022,한국과학기술원,688,54.4
2022,한국교원대학교,609,1.0
2022,한국기술교육대학교,916,5.9
2022,한국성서대학교,214,4.2
2022,한국예술종합학교,477,7.1
2022,한국외국어대학교,4043,6.2
2022,한국전통문화대학교,146,22.6
2022,한국체육대학교,601,3.8
2022,한국침례신학대학교,296,16.9
2022,한국항공대학교,902,10.1
2022,한남대학교,2362,4.2
2022,한동대학교,838,14.6
2022,한라대학교,781,1.3
2022,한림대학교,1863,7.0
2022,한서대학교,1450,2.8
2022,한성대학교,1480,2.6
2022,한세대학교,591,3.9
2022,한신대학교,1080,4.1
2022,한양대학교,3851,12.7
2022,한양대학교(ERICA) _분교,2294,11.6
2022,한일장신대학교,173,7.5
2022,협성대학교,979,4.2
2022,호남대학교,1768,1.5
2022,호남신학대학교,96,15.6
2022,호서대학교,2908,2.8
2022,호원대학교,1315,0.4
2022,홍익대학교,3065,4.5
2022,홍익대학교 _제2캠퍼스,1439,3.8
2022,화성의과학대학교,116,1.7
2021,가야대학교(김해),546,0.4
2021,가천대학교,4178,5.0
2021,가톨릭관동대학교,1673,3.3
2021,가톨릭꽃동네대학교,117,0.0
2021,가톨릭대학교,1478,8.1
2021,가톨릭대학교 _제2캠퍼스,174,0.0
2021,가톨릭대학교 _제3캠퍼스,44,77.3
2021,감리교신학대학교,185,16.8
2021,강남대학교,1567,1.9
2021,강서대학교,288,4.2
2021,강원대학교,3426,9.7
2021,강원대학교 _제2캠퍼스,1504,2.7
2021,건국대학교,3585,9.9
2021,건국대학교(글로컬) _분교,1538,5.4
2021,건양대학교,947,2.6
2021,건양대학교 _제2캠퍼스,868,3.3
2021,경기대학교,2580,4.5
2021,경기대학교 _제2캠퍼스,452,0.7
2021,경남과학기술대학교,974,4.3
2021,경남대학교,2107,2.6
2021,경동대학교,522,0.8
2021,경동대학교 _제3캠퍼스,957,0.1
2021,경동대학교 _제4캠퍼스,300,1.7
2021,경북대학교,5230,9.4
2021,경상국립대학교,3340,9.0
2021,경성대학교,2768,2.9
2021,경운대학교,912,0.9
2021,경인교육대학교 _제2캠퍼스,685,0.1
2021,경일대학교,1263,2.4
2021,경희대학교,6093,8.8
2021,계명대학교,4755,5.3
2021,고려대학교,4828,19.1
2021,고려대학교(세종) _분교,1315,13.2
2021,고신대학교,830,6.7
2021,공주교육대학교,341,0.3
2021,광신대학교,138,23.2
2021,광운대학교,1737,9.1
2021,광주가톨릭대학교,19,68.4
2021,광주과학기술원,148,67.6
2021,광주교육대학교,335,0.3
2021,광주대학교,1547,1.9
2021,광주여자대학교,796,1.1
2021,국립강릉원주대학교,1267,5.2
2021,국립강릉원주대학교 _제2캠퍼스,520,1.2
2021,국립경국대학교,1379,5.7
2021,국립공주대학교,3074,6.3
2021,국립군산대학교,1543,5.6
2021,국립금오공과대학교,1431,8.7
2021,국립목포대학교,1551,3.8
2021,국립목포해양대학교,502,0.8
2021,국립부경대학교,4243,7.2
2021,국립순천대학교,1590,4.7
