기준년도,학교,학과,등록금
,,행정학전공,7422000
,,현대미술전공,10022000
,,화학공학전공,9102000
,,화학과,8722000
,,화학생물공학부,10022000
,,환경공학과,9102000
,,환경과학전공,7802000
,,환경시스템학부,8722000
,,히브리ㆍ중동학전공,6502000
,,체육교육과,9280000
,,지리학과,8722000
,,중어중문학과,7422000
,,영어교육과,7888000
,,영어영문학과,7422000
,,영화전공,10022000
,,예술학부,10022000
,,음악교육과,10672000
,,응용생명과학부,8722000
,,응용생물과학전공,7802000
,,응용통계학과,6502000
,,의상디자인전공,8722000
,,인문학부,7422000
,,인터넷・미디어공학부,10022000
,,인터넷전공,9102000
,,일어교육과,7888000
,,주거환경전공,9102000
,,정치행정학부,6502000
,,정치외교학전공,7422000
,,정치대학,7422000
,,정보통신공학전공,9102000
,,전자공학전공,9102000
,,전자공학부,10022000
,,전기공학과,10022000
,,자율전공학부,8722000
,,자연과학부,8722000
,건국대학교(글로컬) _분교,신문방송학전공,6502000
,,신소재과학부,8722000
,,실내디자인학과,10022000
,,영문학전공,6502000
,,영어영문학부,7422000
,,영어학전공,6502000
,,원예학전공,7802000
,,유럽어문학부,7422000
,,유아교육과,8722000
,,응용생화학전공,7802000
,,응용화학전공,7802000
,,의상디자인학과,10022000
,,의학공학부,10022000
,,인문학부,7422000
,,자율전공학부,8722000
,,전산수학전공,7802000
,,축산학전공,7802000
,,컴퓨터소프트웨어전공,9102000
,,컴퓨터시스템전공,9102000
,,컴퓨터응용과학부,8722000
,,프랑스어문학전공,6502000
,,행정학전공,6502000
,,회화학과,10022000
,,스포츠과학부(생활체육학전공),8722000
,,스포츠과학부(골프지도전공),8722000
,,식품자원환경경제전공,6502000
,,간호학과,8722000
,,경영・통상학부,7422000
,,경영학전공,6502000
,,경제학전공,6502000
,,공예학과(금속공예),10022000
,,공예학과(도자공예),10022000
,,국어국문학전공,6502000
,,국제통상전공,6502000
,,독일어문학전공,6502000
,,러시아어문학전공,6502000
,,문헌정보학전공,6502000
,,법학과,6968000
,,뷰티사이언스디자인학과,10022000
,,생활과학과,8722000
,,생물산업기계공학전공,7802000
,,생명자원환경과학부,8722000
,,생명과학부,8722000
,,생명공학전공,7802000
,,산업디자인학부(인더스트리얼전공),10022000
,,산업디자인학부(시각정보디자인전공),10022000
,,산업디자인학부(광고영상디자인전공),10022000
,,산림과학전공,7802000
,,사회복지학전공,6502000
,,사회과학부,7422000
,건동대학교,행정학부,6630000
,,한약재개발학전공,6500000
,,특수체육전공,6400000
,,토목공학전공,6580000
,,태권도학과,7050000
,,체육학전공,6400000
,,체육학과,6400000
,,정보통신공학과,6580000
,,전기공학과,6580000
,,영어학전공,5980000
,,안경광학과,7150000
,,아동복지학전공,5980000
,,신재생에너지공학과,7230000
,,신문방송학전공,5980000
,,행정학전공,5980000
,,스포츠의학전공,6400000
,,스포츠과학부,7050000
,,사회체육학전공,6400000
,,사회복지학전공,5980000
,,사회복지학부,6630000
,,사회복지학과,5980000
,,복지학부,6630000
,,광고홍보학전공,5980000
,,경찰행정학전공,5980000
,,건축공학전공,6580000
,,가스에너지공학과,7230000
,,가스안전공학과,6580000
,,신문방송광고학과,5980000
,건양대학교,아동보육학과,6718000
,,영미영어문화학과,6718000
,,예식산업학과,6718000
,,운동처방학과,7722000
,,유아교육과,6974000
,,의공학과,8340000
,,의료뷰티학과,7722000
,,인테리어학과,8340000
,,일본언어문화학과,6718000
,,전자상거래무역학과,6088000
,,전자정보공학과,8340000
,,정보보호학과,7722000
,,제약공학과,8340000
,,조형예술학부,7220000
,,중국언어문화학과,6718000
,,중등특수교육과,6974000
,,초등특수교육과,6974000
,,컴퓨터학과,8340000
,,화공생명학과,8340000
,,심리상담치료학과,6718000
,,식품생명공학과,8340000
,,건설시스템공학과,8340000
,,건축학과,8340000
,,경영학과,6088000
,,경찰행정학과,6718000
,,공연미디어학과,6088000
,,공연의상학과,7722000
,,관광학과,6718000
,,국방공무원학과,6718000
,,글로벌경영학부,6718000
,,금융ㆍ국제학과,6718000
,,기계공학과,8340000
,,나노바이오화학과,7722000
,,시각디자인전공,7850000
,,세무학과,6718000
