기준년도,학교,계열,재적학생수,중도탈락학생수,중도탈락비율_재계산
2011,예원예술대학교,예체능계열,970,79,8.14
2011,예원예술대학교,인문사회계열,273,33,12.09
2011,용인대학교,공학계열,416,22,5.29
2011,용인대학교,예체능계열,3833,164,4.28
2011,용인대학교,인문사회계열,2792,123,4.41
2011,용인대학교,자연과학계열,1173,47,4.01
2011,우석대학교,공학계열,1412,72,5.1
2011,우석대학교,예체능계열,1865,134,7.18
2011,우석대학교,의학계열,1446,37,2.56
2011,우석대학교,인문사회계열,4787,241,5.03
2011,우석대학교,자연과학계열,1375,80,5.82
2011,우송대학교,공학계열,2137,84,3.93
2011,우송대학교,예체능계열,1100,63,5.73
2011,우송대학교,의학계열,371,15,4.04
2011,우송대학교,인문사회계열,3865,164,4.24
2011,우송대학교,자연과학계열,1213,34,2.8
2011,우송대학교(산업대),공학계열,884,87,9.84
2011,우송대학교(산업대),예체능계열,401,23,5.74
2011,우송대학교(산업대),의학계열,52,2,3.85
2011,우송대학교(산업대),인문사회계열,1860,113,6.08
2011,우송대학교(산업대),자연과학계열,580,25,4.31
2011,울산과학기술원,공학계열,327,0,0
2011,울산과학기술원,인문사회계열,402,8,1.99
2011,울산과학기술원,자연과학계열,1237,23,1.86
2011,울산대학교,공학계열,6695,194,2.9
2011,울산대학교,예체능계열,1886,71,3.76
2011,울산대학교,의학계열,518,4,0.77
2011,울산대학교,인문사회계열,7514,203,2.7
2011,울산대학교,자연과학계열,3762,105,2.79
2011,원광대학교,공학계열,4776,249,5.21
2011,원광대학교,예체능계열,2728,139,5.1
2011,원광대학교,의학계열,2164,29,1.34
2011,원광대학교,인문사회계열,12274,482,3.93
2011,원광대학교,자연과학계열,3454,163,4.72
2011,위덕대학교,공학계열,1647,197,11.96
2011,위덕대학교,예체능계열,161,23,14.29
2011,위덕대학교,의학계열,235,12,5.11
2011,위덕대학교,인문사회계열,1794,173,9.64
2011,위덕대학교,자연과학계열,111,6,5.41
2011,유원대학교,공학계열,668,52,7.78
